"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","133,962,970","±4,161","133,962,970","(X)"
"        Occupied housing units","117,259,427","±146,938","87.5%","±0.1"
"        Vacant housing units","16,703,543","±150,103","12.5%","±0.1"
"    Homeowner vacancy rate","1.9","±0.1","(X)","(X)"
"    Rental vacancy rate","6.3","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","133,962,970","±4,161","133,962,970","(X)"
"        1-unit, detached","82,391,900","±110,686","61.5%","±0.1"
"        1-unit, attached","7,718,465","±38,081","5.8%","±0.1"
"        2 units","5,053,183","±38,600","3.8%","±0.1"
"        3 or 4 units","5,964,467","±35,282","4.5%","±0.1"
"        5 to 9 units","6,531,053","±45,704","4.9%","±0.1"
"        10 to 19 units","6,102,907","±47,762","4.6%","±0.1"
"        20 or more units","11,630,169","±47,898","8.7%","±0.1"
"        Mobile home","8,462,461","±49,040","6.3%","±0.1"
"        Boat, RV, van, etc.","108,365","±5,609","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","133,962,970","±4,161","133,962,970","(X)"
"        Built 2010 or later","2,723,663","±33,183","2.0%","±0.1"
"        Built 2000 to 2009","19,599,180","±66,505","14.6%","±0.1"
"        Built 1990 to 1999","18,770,589","±56,446","14.0%","±0.1"
"        Built 1980 to 1989","18,346,964","±52,286","13.7%","±0.1"
"        Built 1970 to 1979","20,974,330","±70,389","15.7%","±0.1"
"        Built 1960 to 1969","14,741,022","±59,113","11.0%","±0.1"
"        Built 1950 to 1959","14,243,850","±50,602","10.6%","±0.1"
"        Built 1940 to 1949","7,029,981","±35,476","5.2%","±0.1"
"        Built 1939 or earlier","17,533,391","±54,680","13.1%","±0.1"
"ROOMS","","","",""
"    Total housing units","133,962,970","±4,161","133,962,970","(X)"
"        1 room","2,643,628","±38,620","2.0%","±0.1"
"        2 rooms","3,392,857","±28,135","2.5%","±0.1"
"        3 rooms","12,358,347","±59,558","9.2%","±0.1"
"        4 rooms","22,290,156","±72,867","16.6%","±0.1"
"        5 rooms","27,317,656","±76,993","20.4%","±0.1"
"        6 rooms","23,952,598","±71,276","17.9%","±0.1"
