"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","132,808,137","±2,879","132,808,137","(X)"
"        Occupied housing units","116,291,033","±141,632","87.6%","±0.1"
"        Vacant housing units","16,517,104","±143,264","12.4%","±0.1"
"    Homeowner vacancy rate","1.9","±0.1","(X)","(X)"
"    Rental vacancy rate","6.5","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","132,808,137","±2,879","132,808,137","(X)"
"        1-unit, detached","81,735,496","±116,484","61.5%","±0.1"
"        1-unit, attached","7,741,342","±41,180","5.8%","±0.1"
"        2 units","4,992,681","±38,826","3.8%","±0.1"
"        3 or 4 units","5,939,092","±48,942","4.5%","±0.1"
"        5 to 9 units","6,423,769","±44,340","4.8%","±0.1"
"        10 to 19 units","6,031,066","±43,428","4.5%","±0.1"
"        20 or more units","11,403,591","±47,260","8.6%","±0.1"
"        Mobile home","8,430,637","±48,915","6.3%","±0.1"
"        Boat, RV, van, etc.","110,463","±5,013","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","132,808,137","±2,879","132,808,137","(X)"
"        Built 2010 or later","1,942,156","±32,675","1.5%","±0.1"
"        Built 2000 to 2009","19,736,330","±69,701","14.9%","±0.1"
"        Built 1990 to 1999","18,669,866","±64,438","14.1%","±0.1"
"        Built 1980 to 1989","18,270,879","±58,628","13.8%","±0.1"
"        Built 1970 to 1979","20,934,801","±59,606","15.8%","±0.1"
"        Built 1960 to 1969","14,523,532","±51,566","10.9%","±0.1"
"        Built 1950 to 1959","14,309,994","±48,202","10.8%","±0.1"
"        Built 1940 to 1949","7,005,330","±39,896","5.3%","±0.1"
"        Built 1939 or earlier","17,415,249","±58,004","13.1%","±0.1"
"ROOMS","","","",""
"    Total housing units","132,808,137","±2,879","132,808,137","(X)"
"        1 room","2,619,131","±33,967","2.0%","±0.1"
"        2 rooms","3,388,638","±30,566","2.6%","±0.1"
"        3 rooms","12,160,779","±53,619","9.2%","±0.1"
"        4 rooms","21,977,217","±89,709","16.5%","±0.1"
