"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","139,686,209","±6,973","139,686,209","(X)"
"        Occupied housing units","122,802,852","±137,327","87.9%","±0.1"
"        Vacant housing units","16,883,357","±142,908","12.1%","±0.1"
"        Homeowner vacancy rate","1.5","±0.1","(X)","(X)"
"        Rental vacancy rate","6.0","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","139,686,209","±6,973","139,686,209","(X)"
"        1-unit, detached","85,641,835","±128,998","61.3%","±0.1"
"        1-unit, attached","8,136,403","±45,605","5.8%","±0.1"
"        2 units","4,867,434","±43,916","3.5%","±0.1"
"        3 or 4 units","6,025,800","±43,510","4.3%","±0.1"
"        5 to 9 units","6,587,566","±48,336","4.7%","±0.1"
"        10 to 19 units","6,222,416","±54,885","4.5%","±0.1"
"        20 or more units","13,596,157","±59,215","9.7%","±0.1"
"        Mobile home","8,468,274","±56,236","6.1%","±0.1"
"        Boat, RV, van, etc.","140,324","±6,334","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","139,686,209","±6,973","139,686,209","(X)"
"        Built 2014 or later","6,373,084","±45,867","4.6%","±0.1"
"        Built 2010 to 2013","3,635,020","±32,969","2.6%","±0.1"
"        Built 2000 to 2009","18,434,989","±74,563","13.2%","±0.1"
"        Built 1990 to 1999","19,128,877","±78,508","13.7%","±0.1"
"        Built 1980 to 1989","18,596,295","±64,949","13.3%","±0.1"
"        Built 1970 to 1979","20,941,561","±67,649","15.0%","±0.1"
"        Built 1960 to 1969","14,594,788","±66,051","10.4%","±0.1"
"        Built 1950 to 1959","14,134,069","±59,861","10.1%","±0.1"
"        Built 1940 to 1949","6,628,385","±41,167","4.7%","±0.1"
"        Built 1939 or earlier","17,219,141","±55,705","12.3%","±0.1"
"ROOMS","","","",""
"    Total housing units","139,686,209","±6,973","139,686,209","(X)"
"        1 room","3,320,461","±47,789","2.4%","±0.1"
"        2 rooms","4,073,851","±33,011","2.9%","±0.1"
"        3 rooms","12,991,967","±71,811","9.3%","±0.1"
"        4 rooms","22,597,539","±99,931","16.2%","±0.1"
"        5 rooms","26,911,557","±108,058","19.3%","±0.1"
"        6 rooms","24,637,448","±77,713","17.6%","±0.1"
"        7 rooms","16,747,196","±68,215","12.0%","±0.1"
"        8 rooms","12,153,521","±67,675","8.7%","±0.1"
"        9 rooms or more","16,252,669","±97,886","11.6%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","139,686,209","±6,973","139,686,209","(X)"
"        No bedroom","3,650,241","±48,094","2.6%","±0.1"
"        1 bedroom","15,323,800","±59,281","11.0%","±0.1"
"        2 bedrooms","35,938,436","±104,477","25.7%","±0.1"
"        3 bedrooms","54,597,644","±114,416","39.1%","±0.1"
"        4 bedrooms","23,707,809","±78,260","17.0%","±0.1"
"        5 or more bedrooms","6,468,279","±40,495","4.6%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","122,802,852","±137,327","122,802,852","(X)"
"        Owner-occupied","78,724,862","±240,723","64.1%","±0.1"
"        Renter-occupied","44,077,990","±135,910","35.9%","±0.1"
"        Average household size of owner-occupied unit","2.70","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.44","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","122,802,852","±137,327","122,802,852","(X)"
"        Moved in 2017 or later","34,411,155","±77,862","28.0%","±0.1"
"        Moved in 2015 to 2016","15,382,632","±65,124","12.5%","±0.1"
"        Moved in 2010 to 2014","19,530,199","±69,167","15.9%","±0.1"
"        Moved in 2000 to 2009","24,934,374","±86,988","20.3%","±0.1"
"        Moved in 1990 to 1999","14,024,567","±55,875","11.4%","±0.1"
"        Moved in 1989 and earlier","14,519,925","±59,817","11.8%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","122,802,852","±137,327","122,802,852","(X)"
"        No vehicles available","10,571,819","±53,046","8.6%","±0.1"
"        1 vehicle available","39,818,356","±92,997","32.4%","±0.1"
"        2 vehicles available","45,290,066","±129,226","36.9%","±0.1"
"        3 or more vehicles available","27,122,611","±85,393","22.1%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","122,802,852","±137,327","122,802,852","(X)"
"        Utility gas","58,702,794","±106,714","47.8%","±0.1"
"        Bottled, tank, or LP gas","5,930,166","±46,871","4.8%","±0.1"
"        Electricity","48,468,860","±83,348","39.5%","±0.1"
"        Fuel oil, kerosene, etc.","5,416,452","±31,005","4.4%","±0.1"
"        Coal or coke","111,484","±5,311","0.1%","±0.1"
"        Wood","2,012,636","±20,882","1.6%","±0.1"
"        Solar energy","248,893","±7,428","0.2%","±0.1"
"        Other fuel","570,857","±11,884","0.5%","±0.1"
"        No fuel used","1,340,710","±17,443","1.1%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","122,802,852","±137,327","122,802,852","(X)"
"        Lacking complete plumbing facilities","461,279","±14,466","0.4%","±0.1"
"        Lacking complete kitchen facilities","1,024,314","±20,604","0.8%","±0.1"
"        No telephone service available","1,263,227","±22,374","1.0%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","122,802,852","±137,327","122,802,852","(X)"
"        1.00 or less","118,734,594","±153,741","96.7%","±0.1"
"        1.01 to 1.50","2,758,338","±32,363","2.2%","±0.1"
"        1.51 or more","1,309,920","±23,412","1.1%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","78,724,862","±240,723","78,724,862","(X)"
"        Less than $50,000","4,911,653","±41,787","6.2%","±0.1"
"        $50,000 to $99,999","8,033,491","±55,485","10.2%","±0.1"
"        $100,000 to $149,999","9,013,104","±53,938","11.4%","±0.1"
"        $150,000 to $199,999","10,424,880","±57,540","13.2%","±0.1"
