"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","132,452,249","±3,899","132,452,249","(X)"
"    Occupied housing units","115,969,540","±150,555","87.6%","±0.1"
"    Vacant housing units","16,482,709","±151,760","12.4%","±0.1"
"    Homeowner vacancy rate","2.0","±0.1","(X)","(X)"
"    Rental vacancy rate","6.8","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","132,452,249","±3,899","132,452,249","(X)"
"    1-unit, detached","81,554,643","±96,447","61.6%","±0.1"
"    1-unit, attached","7,695,788","±39,654","5.8%","±0.1"
"    2 units","5,006,114","±32,000","3.8%","±0.1"
"    3 or 4 units","5,880,296","±36,686","4.4%","±0.1"
"    5 to 9 units","6,311,130","±48,988","4.8%","±0.1"
"    10 to 19 units","5,927,271","±42,333","4.5%","±0.1"
"    20 or more units","11,465,984","±45,014","8.7%","±0.1"
"    Mobile home","8,510,590","±47,407","6.4%","±0.1"
"    Boat, RV, van, etc.","100,433","±5,010","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","132,452,249","±3,899","132,452,249","(X)"
"    Built 2010 or later","1,199,560","±17,579","0.9%","±0.1"
"    Built 2000 to 2009","19,799,406","±58,762","14.9%","±0.1"
"    Built 1990 to 1999","18,348,209","±63,370","13.9%","±0.1"
"    Built 1980 to 1989","18,326,856","±54,882","13.8%","±0.1"
"    Built 1970 to 1979","20,944,138","±55,241","15.8%","±0.1"
"    Built 1960 to 1969","14,577,453","±53,238","11.0%","±0.1"
"    Built 1950 to 1959","14,397,367","±56,476","10.9%","±0.1"
"    Built 1940 to 1949","7,072,019","±33,988","5.3%","±0.1"
"    Built 1939 or earlier","17,787,241","±52,804","13.4%","±0.1"
"ROOMS","","","",""
"    Total housing units","132,452,249","±3,899","132,452,249","(X)"
"    1 room","2,571,344","±31,732","1.9%","±0.1"
"    2 rooms","3,324,834","±28,221","2.5%","±0.1"
"    3 rooms","12,165,887","±51,392","9.2%","±0.1"
"    4 rooms","22,119,418","±82,252","16.7%","±0.1"
"    5 rooms","27,132,313","±72,875","20.5%","±0.1"
"    6 rooms","23,967,579","±67,507","18.1%","±0.1"
"    7 rooms","16,219,785","±55,494","12.2%","±0.1"
"    8 rooms","11,187,180","±51,806","8.4%","±0.1"
"    9 rooms or more","13,763,909","±69,957","10.4%","±0.1"
"    Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","132,452,249","±3,899","132,452,249","(X)"
"    No bedroom","2,852,924","±31,268","2.2%","±0.1"
"    1 bedroom","14,848,713","±56,098","11.2%","±0.1"
"    2 bedrooms","35,456,731","±77,090","26.8%","±0.1"
"    3 bedrooms","52,539,071","±77,063","39.7%","±0.1"
"    4 bedrooms","21,182,430","±63,016","16.0%","±0.1"
"    5 or more bedrooms","5,572,380","±36,811","4.2%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","115,969,540","±150,555","115,969,540","(X)"
"    Owner-occupied","74,119,256","±204,618","63.9%","±0.1"
"    Renter-occupied","41,850,284","±99,327","36.1%","±0.1"
"    Average household size of owner-occupied unit","2.70","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.53","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","115,969,540","±150,555","115,969,540","(X)"
"    Moved in 2010 or later","31,507,002","±86,334","27.2%","±0.1"
"    Moved in 2000 to 2009","45,461,532","±103,598","39.2%","±0.1"
"    Moved in 1990 to 1999","18,996,653","±73,683","16.4%","±0.1"
"    Moved in 1980 to 1989","9,200,406","±45,714","7.9%","±0.1"
"    Moved in 1970 to 1979","6,071,721","±31,287","5.2%","±0.1"
"    Moved in 1969 or earlier","4,732,226","±32,031","4.1%","±0.1"
