"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","138,539,906","±4,033","138,539,906","(X)"
"        Occupied housing units","121,520,180","±153,217","87.7%","±0.1"
"        Vacant housing units","17,019,726","±155,617","12.3%","±0.1"
"        Homeowner vacancy rate","1.5","±0.1","(X)","(X)"
"        Rental vacancy rate","6.1","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","138,539,906","±4,033","138,539,906","(X)"
"        1-unit, detached","85,012,921","±123,402","61.4%","±0.1"
"        1-unit, attached","8,104,981","±41,909","5.9%","±0.1"
"        2 units","4,923,261","±36,601","3.6%","±0.1"
"        3 or 4 units","5,993,272","±42,774","4.3%","±0.1"
"        5 to 9 units","6,554,010","±46,115","4.7%","±0.1"
"        10 to 19 units","6,180,952","±47,467","4.5%","±0.1"
"        20 or more units","13,134,966","±50,646","9.5%","±0.1"
"        Mobile home","8,503,364","±52,368","6.1%","±0.1"
"        Boat, RV, van, etc.","132,179","±5,959","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","138,539,906","±4,033","138,539,906","(X)"
"        Built 2014 or later","4,785,640","±44,516","3.5%","±0.1"
"        Built 2010 to 2013","3,715,688","±36,929","2.7%","±0.1"
"        Built 2000 to 2009","18,731,885","±65,297","13.5%","±0.1"
"        Built 1990 to 1999","19,140,568","±63,307","13.8%","±0.1"
"        Built 1980 to 1989","18,520,320","±77,684","13.4%","±0.1"
"        Built 1970 to 1979","20,991,871","±72,635","15.2%","±0.1"
"        Built 1960 to 1969","14,574,442","±60,465","10.5%","±0.1"
"        Built 1950 to 1959","14,111,092","±56,135","10.2%","±0.1"
"        Built 1940 to 1949","6,679,375","±34,091","4.8%","±0.1"
"        Built 1939 or earlier","17,289,025","±51,956","12.5%","±0.1"
"ROOMS","","","",""
"    Total housing units","138,539,906","±4,033","138,539,906","(X)"
"        1 room","3,290,198","±32,257","2.4%","±0.1"
"        2 rooms","3,895,915","±35,143","2.8%","±0.1"
"        3 rooms","12,628,193","±61,239","9.1%","±0.1"
"        4 rooms","22,498,296","±92,508","16.2%","±0.1"
"        5 rooms","26,971,875","±92,914","19.5%","±0.1"
"        6 rooms","24,598,452","±75,248","17.8%","±0.1"
"        7 rooms","16,679,541","±65,897","12.0%","±0.1"
"        8 rooms","11,991,256","±62,510","8.7%","±0.1"
"        9 rooms or more","15,986,180","±95,344","11.5%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","138,539,906","±4,033","138,539,906","(X)"
"        No bedroom","3,613,734","±33,006","2.6%","±0.1"
"        1 bedroom","15,118,145","±64,983","10.9%","±0.1"
"        2 bedrooms","35,886,605","±84,733","25.9%","±0.1"
"        3 bedrooms","54,337,745","±90,125","39.2%","±0.1"
"        4 bedrooms","23,268,057","±71,202","16.8%","±0.1"
"        5 or more bedrooms","6,315,620","±39,226","4.6%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","121,520,180","±153,217","121,520,180","(X)"
"        Owner-occupied","77,708,394","±235,977","63.9%","±0.1"
"        Renter-occupied","43,811,786","±124,897","36.1%","±0.1"
"        Average household size of owner-occupied unit","2.71","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.48","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","121,520,180","±153,217","121,520,180","(X)"
"        Moved in 2017 or later","22,831,475","±84,005","18.8%","±0.1"
"        Moved in 2015 to 2016","19,803,199","±74,685","16.3%","±0.1"
"        Moved in 2010 to 2014","22,617,626","±67,757","18.6%","±0.1"
"        Moved in 2000 to 2009","26,672,883","±75,578","21.9%","±0.1"
"        Moved in 1990 to 1999","14,504,987","±61,853","11.9%","±0.1"
"        Moved in 1989 and earlier","15,090,010","±49,928","12.4%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","121,520,180","±153,217","121,520,180","(X)"
"        No vehicles available","10,387,616","±47,909","8.5%","±0.1"
"        1 vehicle available","39,542,810","±91,348","32.5%","±0.1"
"        2 vehicles available","45,025,271","±109,998","37.1%","±0.1"
"        3 or more vehicles available","26,564,483","±83,474","21.9%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","121,520,180","±153,217","121,520,180","(X)"
"        Utility gas","58,107,898","±103,352","47.8%","±0.1"
"        Bottled, tank, or LP gas","5,785,087","±51,048","4.8%","±0.1"
"        Electricity","47,664,828","±86,334","39.2%","±0.1"
"        Fuel oil, kerosene, etc.","5,599,268","±32,003","4.6%","±0.1"
"        Coal or coke","114,079","±4,539","0.1%","±0.1"
"        Wood","2,074,204","±19,526","1.7%","±0.1"
"        Solar energy","208,742","±6,626","0.2%","±0.1"
"        Other fuel","587,775","±11,334","0.5%","±0.1"
"        No fuel used","1,378,299","±19,515","1.1%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","121,520,180","±153,217","121,520,180","(X)"
"        Lacking complete plumbing facilities","465,211","±11,372","0.4%","±0.1"
"        Lacking complete kitchen facilities","1,006,370","±17,832","0.8%","±0.1"
"        No telephone service available","1,774,784","±24,134","1.5%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","121,520,180","±153,217","121,520,180","(X)"
"        1.00 or less","117,438,148","±167,916","96.6%","±0.1"
"        1.01 to 1.50","2,759,282","±31,240","2.3%","±0.1"
"        1.51 or more","1,322,750","±19,152","1.1%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","77,708,394","±235,977","77,708,394","(X)"
"        Less than $50,000","5,137,750","±39,930","6.6%","±0.1"
"        $50,000 to $99,999","8,621,352","±57,704","11.1%","±0.1"
"        $100,000 to $149,999","9,576,933","±53,338","12.3%","±0.1"
"        $150,000 to $199,999","10,549,229","±57,481","13.6%","±0.1"
"        $200,000 to $299,999","15,496,144","±70,646","19.9%","±0.1"
"        $300,000 to $499,999","15,852,636","±68,286","20.4%","±0.1"
"        $500,000 to $999,999","9,563,467","±36,509","12.3%","±0.1"
"        $1,000,000 or more","2,910,883","±21,906","3.7%","±0.1"
"        Median (dollars)","229,700","±366","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","77,708,394","±235,977","77,708,394","(X)"
"        Housing units with a mortgage","48,126,102","±152,822","61.9%","±0.1"
"        Housing units without a mortgage","29,582,292","±109,677","38.1%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","48,126,102","±152,822","48,126,102","(X)"
"        Less than $500","612,804","±11,959","1.3%","±0.1"
"        $500 to $999","8,663,074","±61,214","18.0%","±0.1"
"        $1,000 to $1,499","13,313,298","±64,401","27.7%","±0.1"
"        $1,500 to $1,999","9,957,217","±52,053","20.7%","±0.1"
"        $2,000 to $2,499","6,096,089","±33,047","12.7%","±0.1"
"        $2,500 to $2,999","3,729,736","±30,870","7.7%","±0.1"
"        $3,000 or more","5,753,884","±36,608","12.0%","±0.1"
"        Median (dollars)","1,566","±2","(X)","(X)"
"    Housing units without a mortgage","29,582,292","±109,677","29,582,292","(X)"
