"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","134,793,665","±2,413","134,793,665","(X)"
"        Occupied housing units","118,208,250","±155,130","87.7%","±0.1"
"        Vacant housing units","16,585,415","±155,403","12.3%","±0.1"
"    Homeowner vacancy rate","1.8","±0.1","(X)","(X)"
"    Rental vacancy rate","5.9","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","134,793,665","±2,413","134,793,665","(X)"
"        1-unit, detached","82,749,491","±125,869","61.4%","±0.1"
"        1-unit, attached","7,814,393","±38,081","5.8%","±0.1"
"        2 units","5,018,066","±39,776","3.7%","±0.1"
"        3 or 4 units","6,028,275","±44,116","4.5%","±0.1"
"        5 to 9 units","6,523,884","±46,266","4.8%","±0.1"
"        10 to 19 units","6,174,080","±50,752","4.6%","±0.1"
"        20 or more units","11,915,246","±45,073","8.8%","±0.1"
"        Mobile home","8,452,221","±55,162","6.3%","±0.1"
"        Boat, RV, van, etc.","118,009","±5,843","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","134,793,665","±2,413","134,793,665","(X)"
"        Built 2014 or later","644,434","±14,409","0.5%","±0.1"
"        Built 2010 to 2013","3,349,216","±39,939","2.5%","±0.1"
"        Built 2000 to 2009","19,541,438","±55,013","14.5%","±0.1"
"        Built 1990 to 1999","18,890,642","±65,144","14.0%","±0.1"
"        Built 1980 to 1989","18,363,586","±61,726","13.6%","±0.1"
"        Built 1970 to 1979","20,924,027","±64,282","15.5%","±0.1"
"        Built 1960 to 1969","14,547,538","±64,019","10.8%","±0.1"
"        Built 1950 to 1959","14,182,503","±50,415","10.5%","±0.1"
"        Built 1940 to 1949","6,865,918","±38,555","5.1%","±0.1"
"        Built 1939 or earlier","17,484,363","±55,606","13.0%","±0.1"
"ROOMS","","","",""
"    Total housing units","134,793,665","±2,413","134,793,665","(X)"
"        1 room","3,152,075","±33,495","2.3%","±0.1"
"        2 rooms","3,401,309","±31,381","2.5%","±0.1"
"        3 rooms","12,125,232","±65,481","9.0%","±0.1"
"        4 rooms","22,347,202","±86,563","16.6%","±0.1"
"        5 rooms","27,004,041","±82,376","20.0%","±0.1"
"        6 rooms","24,093,831","±77,121","17.9%","±0.1"
"        7 rooms","16,261,112","±62,473","12.1%","±0.1"
"        8 rooms","11,510,632","±60,277","8.5%","±0.1"
"        9 rooms or more","14,898,231","±76,085","11.1%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","134,793,665","±2,413","134,793,665","(X)"
"        No bedroom","3,460,597","±33,962","2.6%","±0.1"
"        1 bedroom","14,618,400","±52,959","10.8%","±0.1"
"        2 bedrooms","35,612,199","±77,122","26.4%","±0.1"
"        3 bedrooms","53,210,239","±87,194","39.5%","±0.1"
"        4 bedrooms","22,156,363","±69,160","16.4%","±0.1"
"        5 or more bedrooms","5,735,867","±33,253","4.3%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","118,208,250","±155,130","118,208,250","(X)"
"        Owner-occupied","74,506,512","±228,238","63.0%","±0.1"
"        Renter-occupied","43,701,738","±113,291","37.0%","±0.1"
"    Average household size of owner-occupied unit","2.71","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.54","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","118,208,250","±155,130","118,208,250","(X)"
"        Moved in 2015 or later","8,771,565","±52,508","7.4%","±0.1"
"        Moved in 2010 to 2014","42,303,115","±87,503","35.8%","±0.1"
"        Moved in 2000 to 2009","33,302,241","±101,898","28.2%","±0.1"
"        Moved in 1990 to 1999","16,572,249","±67,054","14.0%","±0.1"
"        Moved in 1980 to 1989","8,085,650","±46,298","6.8%","±0.1"
"        Moved in 1979 and earlier","9,173,430","±43,591","7.8%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","118,208,250","±155,130","118,208,250","(X)"
"        No vehicles available","10,568,856","±47,750","8.9%","±0.1"
"        1 vehicle available","39,637,210","±85,901","33.5%","±0.1"
"        2 vehicles available","43,994,446","±106,535","37.2%","±0.1"
"        3 or more vehicles available","24,007,738","±74,392","20.3%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","118,208,250","±155,130","118,208,250","(X)"
"        Utility gas","56,982,568","±100,752","48.2%","±0.1"
"        Bottled, tank, or LP gas","5,576,248","±44,277","4.7%","±0.1"
"        Electricity","45,102,529","±78,036","38.2%","±0.1"
"        Fuel oil, kerosene, etc.","5,992,067","±35,359","5.1%","±0.1"
"        Coal or coke","126,696","±4,231","0.1%","±0.1"
"        Wood","2,360,814","±23,871","2.0%","±0.1"
"        Solar energy","106,737","±4,759","0.1%","±0.1"
"        Other fuel","576,145","±10,726","0.5%","±0.1"
"        No fuel used","1,384,446","±16,349","1.2%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","118,208,250","±155,130","118,208,250","(X)"
"        Lacking complete plumbing facilities","505,093","±12,102","0.4%","±0.1"
"        Lacking complete kitchen facilities","971,624","±15,215","0.8%","±0.1"
"        No telephone service available","2,947,699","±29,236","2.5%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","118,208,250","±155,130","118,208,250","(X)"
"        1.00 or less","114,152,813","±166,162","96.6%","±0.1"
"        1.01 to 1.50","2,779,382","±26,294","2.4%","±0.1"
"        1.51 or more","1,276,055","±14,943","1.1%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","74,506,512","±228,238","74,506,512","(X)"
"        Less than $50,000","5,599,055","±39,074","7.5%","±0.1"
"        $50,000 to $99,999","10,432,762","±61,504","14.0%","±0.1"
"        $100,000 to $149,999","11,186,841","±58,630","15.0%","±0.1"
"        $150,000 to $199,999","11,027,247","±59,151","14.8%","±0.1"
"        $200,000 to $299,999","14,035,465","±59,563","18.8%","±0.1"
"        $300,000 to $499,999","12,923,900","±53,058","17.3%","±0.1"
"        $500,000 to $999,999","7,255,822","±34,486","9.7%","±0.1"
"        $1,000,000 or more","2,045,420","±16,786","2.7%","±0.1"
"        Median (dollars)","194,500","±290","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","74,506,512","±228,238","74,506,512","(X)"
"        Housing units with a mortgage","47,140,736","±141,732","63.3%","±0.1"
"        Housing units without a mortgage","27,365,776","±116,493","36.7%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","47,140,736","±141,732","47,140,736","(X)"
"        Less than $500","729,734","±12,921","1.5%","±0.1"
"        $500 to $999","9,674,042","±56,820","20.5%","±0.1"
"        $1,000 to $1,499","13,783,849","±60,745","29.2%","±0.1"
"        $1,500 to $1,999","9,552,208","±46,110","20.3%","±0.1"
"        $2,000 to $2,499","5,540,253","±33,747","11.8%","±0.1"
"        $2,500 to $2,999","3,206,003","±30,322","6.8%","±0.1"
"        $3,000 or more","4,654,647","±29,743","9.9%","±0.1"
"        Median (dollars)","1,477","±3","(X)","(X)"
"    Housing units without a mortgage","27,365,776","±116,493","27,365,776","(X)"
"        Less than $250","3,648,290","±31,258","13.3%","±0.1"
"        $250 to $399","6,997,899","±49,215","25.6%","±0.1"
"        $400 to $599","7,907,619","±50,607","28.9%","±0.1"
"        $600 to $799","4,166,295","±32,001","15.2%","±0.1"
"        $800 to $999","2,055,085","±19,729","7.5%","±0.1"
"        $1,000 or more","2,590,588","±25,063","9.5%","±0.1"
"        Median (dollars)","468","±2","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","46,893,431","±141,541","46,893,431","(X)"
"        Less than 20.0 percent","20,443,590","±87,770","43.6%","±0.1"
"        20.0 to 24.9 percent","7,479,256","±47,561","15.9%","±0.1"
"        25.0 to 29.9 percent","5,106,561","±35,062","10.9%","±0.1"
"        30.0 to 34.9 percent","3,410,830","±28,336","7.3%","±0.1"
"        35.0 percent or more","10,453,194","±46,096","22.3%","±0.1"
"    Not computed","247,305","±8,432","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","26,979,185","±114,386","26,979,185","(X)"
"        Less than 10.0 percent","11,681,217","±64,378","43.3%","±0.1"
"        10.0 to 14.9 percent","5,292,952","±37,158","19.6%","±0.1"
"        15.0 to 19.9 percent","3,085,092","±28,470","11.4%","±0.1"
"        20.0 to 24.9 percent","1,911,478","±19,128","7.1%","±0.1"
"        25.0 to 29.9 percent","1,217,009","±14,928","4.5%","±0.1"
"        30.0 to 34.9 percent","841,149","±14,374","3.1%","±0.1"
"        35.0 percent or more","2,950,288","±23,885","10.9%","±0.1"
"    Not computed","386,591","±8,829","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","41,410,172","±113,441","41,410,172","(X)"
"        Less than $500","4,558,468","±29,956","11.0%","±0.1"
"        $500 to $999","17,688,967","±69,585","42.7%","±0.1"
"        $1,000 to $1,499","11,569,201","±63,819","27.9%","±0.1"
