"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","132,316,248","±3,717","132,316,248","(X)"
"    Occupied housing units","114,991,725","±179,541","86.9%","±0.1"
"    Vacant housing units","17,324,523","±181,313","13.1%","±0.1"
"    Homeowner vacancy rate","2.4","±0.1","(X)","(X)"
"    Rental vacancy rate","7.4","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","132,316,248","±3,717","132,316,248","(X)"
"    1-unit, detached","81,352,575","±118,931","61.5%","±0.1"
"    1-unit, attached","7,682,855","±38,005","5.8%","±0.1"
"    2 units","5,016,336","±38,987","3.8%","±0.1"
"    3 or 4 units","5,911,457","±38,238","4.5%","±0.1"
"    5 to 9 units","6,285,575","±40,439","4.8%","±0.1"
"    10 to 19 units","5,902,669","±43,806","4.5%","±0.1"
"    20 or more units","11,460,170","±49,222","8.7%","±0.1"
"    Mobile home","8,591,522","±48,606","6.5%","±0.1"
"    Boat, RV, van, etc.","113,089","±7,829","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","132,316,248","±3,717","132,316,248","(X)"
"    Built 2005 or later","9,124,464","±60,751","6.9%","±0.1"
"    Built 2000 to 2004","11,649,482","±78,902","8.8%","±0.1"
"    Built 1990 to 1999","18,208,991","±67,685","13.8%","±0.1"
"    Built 1980 to 1989","18,249,501","±73,111","13.8%","±0.1"
"    Built 1970 to 1979","20,953,473","±66,251","15.8%","±0.1"
"    Built 1960 to 1969","14,638,063","±58,097","11.1%","±0.1"
"    Built 1950 to 1959","14,421,985","±65,708","10.9%","±0.1"
"    Built 1940 to 1949","7,238,543","±38,388","5.5%","±0.1"
"    Built 1939 or earlier","17,831,746","±56,138","13.5%","±0.1"
"ROOMS","","","",""
"    Total housing units","132,316,248","±3,717","132,316,248","(X)"
"    1 room","2,701,010","±34,669","2.0%","±0.1"
"    2 rooms","3,265,282","±34,356","2.5%","±0.1"
"    3 rooms","12,146,853","±60,783","9.2%","±0.1"
"    4 rooms","22,076,091","±86,950","16.7%","±0.1"
"    5 rooms","27,241,884","±91,624","20.6%","±0.1"
"    6 rooms","23,985,672","±71,430","18.1%","±0.1"
"    7 rooms","16,236,465","±60,562","12.3%","±0.1"
"    8 rooms","11,129,458","±63,444","8.4%","±0.1"
"    9 rooms or more","13,533,533","±69,955","10.2%","±0.1"
"    Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","132,316,248","±3,717","132,316,248","(X)"
"    No bedroom","2,970,587","±35,810","2.2%","±0.1"
"    1 bedroom","14,920,949","±63,725","11.3%","±0.1"
"    2 bedrooms","35,498,017","±91,416","26.8%","±0.1"
"    3 bedrooms","52,474,220","±89,860","39.7%","±0.1"
"    4 bedrooms","20,964,580","±72,573","15.8%","±0.1"
"    5 or more bedrooms","5,487,895","±36,947","4.1%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","114,991,725","±179,541","114,991,725","(X)"
"    Owner-occupied","74,264,435","±230,440","64.6%","±0.1"
"    Renter-occupied","40,727,290","±100,848","35.4%","±0.1"
"    Average household size of owner-occupied unit","2.71","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.52","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","114,991,725","±179,541","114,991,725","(X)"
"    Moved in 2005 or later","55,488,767","±94,950","48.3%","±0.1"
