"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","142,148,050","±4,219","142,148,050","(X)"
"        Occupied housing units","127,544,730","±97,632","89.7%","±0.1"
"        Vacant housing units","14,603,320","±99,060","10.3%","±0.1"
"        Homeowner vacancy rate","0.9","±0.1","(X)","(X)"
"        Rental vacancy rate","5.2","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","142,148,050","±4,219","142,148,050","(X)"
"        1-unit, detached","87,804,068","±116,985","61.8%","±0.1"
"        1-unit, attached","8,823,839","±53,035","6.2%","±0.1"
"        2 units","4,698,934","±40,442","3.3%","±0.1"
"        3 or 4 units","6,069,239","±42,705","4.3%","±0.1"
"        5 to 9 units","6,379,448","±48,528","4.5%","±0.1"
"        10 to 19 units","5,996,065","±53,493","4.2%","±0.1"
"        20 or more units","14,201,780","±58,634","10.0%","±0.1"
"        Mobile home","8,008,783","±51,597","5.6%","±0.1"
"        Boat, RV, van, etc.","165,894","±8,067","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","142,148,050","±4,219","142,148,050","(X)"
"        Built 2020 or later","1,073,629","±23,411","0.8%","±0.1"
"        Built 2010 to 2019","13,632,007","±66,151","9.6%","±0.1"
"        Built 2000 to 2009","19,697,259","±69,009","13.9%","±0.1"
"        Built 1990 to 1999","17,452,834","±61,057","12.3%","±0.1"
"        Built 1980 to 1989","18,532,262","±59,956","13.0%","±0.1"
"        Built 1970 to 1979","20,442,202","±67,036","14.4%","±0.1"
"        Built 1960 to 1969","14,202,613","±50,822","10.0%","±0.1"
"        Built 1950 to 1959","13,738,856","±62,800","9.7%","±0.1"
"        Built 1940 to 1949","6,474,803","±43,820","4.6%","±0.1"
"        Built 1939 or earlier","16,901,585","±57,563","11.9%","±0.1"
"ROOMS","","","",""
"    Total housing units","142,148,050","±4,219","142,148,050","(X)"
"        1 room","3,589,031","±43,812","2.5%","±0.1"
"        2 rooms","4,350,654","±38,488","3.1%","±0.1"
