"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","118,860,065","±154,606","75,022,569","±227,992","43,837,496","±103,352"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.3%","±0.1","1.9%","±0.1","5.7%","±0.1"
"    $5,000 to $9,999","3.4%","±0.1","1.6%","±0.1","6.3%","±0.1"
"    $10,000 to $14,999","4.8%","±0.1","2.9%","±0.1","8.0%","±0.1"
"    $15,000 to $19,999","4.7%","±0.1","3.2%","±0.1","7.3%","±0.1"
"    $20,000 to $24,999","5.0%","±0.1","3.7%","±0.1","7.1%","±0.1"
"    $25,000 to $34,999","9.5%","±0.1","7.7%","±0.1","12.5%","±0.1"
"    $35,000 to $49,999","13.0%","±0.1","11.7%","±0.1","15.2%","±0.1"
"    $50,000 to $74,999","17.7%","±0.1","18.2%","±0.1","16.9%","±0.1"
"    $75,000 to $99,999","12.3%","±0.1","14.3%","±0.1","9.0%","±0.1"
"    $100,000 to $149,999","14.0%","±0.1","17.8%","±0.1","7.6%","±0.1"
"    $150,000 or more","12.2%","±0.1","16.8%","±0.1","4.4%","±0.1"
"    Median household income (dollars)","57,617","±115","73,127","±117","37,264","±95"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $300","6.6%","±0.1","8.1%","±0.1","4.1%","±0.1"
"    $300 to $499","10.8%","±0.1","13.5%","±0.1","6.1%","±0.1"
"    $500 to $799","18.1%","±0.1","16.0%","±0.1","21.6%","±0.1"
"    $800 to $999","12.5%","±0.1","9.7%","±0.1","17.3%","±0.1"
"    $1,000 to $1,499","22.9%","±0.1","20.6%","±0.1","26.9%","±0.1"
"    $1,500 to $1,999","12.6%","±0.1","13.3%","±0.1","11.3%","±0.1"
"    $2,000 to $2,499","6.4%","±0.1","7.7%","±0.1","4.2%","±0.1"
"    $2,500 to $2,999","3.5%","±0.1","4.5%","±0.1","1.8%","±0.1"
"    $3,000 or more","4.8%","±0.1","6.6%","±0.1","1.7%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.0%","±0.1"
"    Median (dollars)","1,022","±2","1,062","±2","981","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","14.1%","±0.1","8.9%","±0.1","23.1%","±0.1"
"        Less than 20 percent","0.9%","±0.1","1.1%","±0.1","0.6%","±0.1"
"        20 to 29 percent","1.5%","±0.1","1.3%","±0.1","2.0%","±0.1"
"        30 percent or more","11.7%","±0.1","6.5%","±0.1","20.5%","±0.1"
"    $20,000 to $34,999","14.1%","±0.1","11.4%","±0.1","18.7%","±0.1"
"        Less than 20 percent","2.9%","±0.1","3.9%","±0.1","1.1%","±0.1"
"        20 to 29 percent","2.7%","±0.1","2.3%","±0.1","3.5%","±0.1"
"        30 percent or more","8.5%","±0.1","5.3%","±0.1","14.1%","±0.1"
"    $35,000 to $49,999","12.7%","±0.1","11.7%","±0.1","14.5%","±0.1"
"        Less than 20 percent","4.1%","±0.1","5.2%","±0.1","2.3%","±0.1"
"        20 to 29 percent","3.8%","±0.1","2.7%","±0.1","5.6%","±0.1"
"        30 percent or more","4.8%","±0.1","3.8%","±0.1","6.6%","±0.1"
"    $50,000 to $74,999","17.5%","±0.1","18.2%","±0.1","16.2%","±0.1"
"        Less than 20 percent","8.2%","±0.1","9.5%","±0.1","6.0%","±0.1"
"        20 to 29 percent","5.5%","±0.1","4.9%","±0.1","6.6%","±0.1"
"        30 percent or more","3.7%","±0.1","3.8%","±0.1","3.7%","±0.1"
"    $75,000 or more","38.3%","±0.1","48.9%","±0.1","20.2%","±0.1"
"        Less than 20 percent","28.0%","±0.1","36.2%","±0.1","14.0%","±0.1"
"        20 to 29 percent","7.7%","±0.1","9.4%","±0.1","4.9%","±0.1"
"        30 percent or more","2.5%","±0.1","3.3%","±0.1","1.2%","±0.1"
"    Zero or negative income","1.4%","±0.1","0.9%","±0.1","2.2%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.0%","±0.1"
