"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","120,062,818","±161,148","120,062,818","±161,148","76,684,018","±243,713","76,684,018","±243,713","43,378,800","±114,163","43,378,800","±114,163"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Less than $5,000","3,996,059","±34,168","3.3%","±0.1","1,482,604","±19,879","1.9%","±0.1","2,513,455","±27,036","5.8%","±0.1"
"    $5,000 to $9,999","3,800,573","±30,657","3.2%","±0.1","1,183,983","±15,370","1.5%","±0.1","2,616,590","±28,449","6.0%","±0.1"
"    $10,000 to $14,999","5,422,566","±37,502","4.5%","±0.1","2,134,754","±21,547","2.8%","±0.1","3,287,812","±30,952","7.6%","±0.1"
"    $15,000 to $19,999","5,380,478","±37,908","4.5%","±0.1","2,396,707","±24,984","3.1%","±0.1","2,983,771","±30,853","6.9%","±0.1"
"    $20,000 to $24,999","5,800,084","±39,652","4.8%","±0.1","2,744,644","±25,772","3.6%","±0.1","3,055,440","±30,263","7.0%","±0.1"
"    $25,000 to $34,999","10,928,131","±53,791","9.1%","±0.1","5,638,439","±38,598","7.4%","±0.1","5,289,692","±43,698","12.2%","±0.1"
"    $35,000 to $49,999","15,203,173","±67,238","12.7%","±0.1","8,628,594","±52,382","11.3%","±0.1","6,574,579","±49,420","15.2%","±0.1"
"    $50,000 to $74,999","21,127,910","±82,345","17.6%","±0.1","13,665,829","±78,978","17.8%","±0.1","7,462,081","±48,322","17.2%","±0.1"
"    $75,000 to $99,999","15,031,143","±72,691","12.5%","±0.1","10,995,270","±67,957","14.3%","±0.1","4,035,873","±37,664","9.3%","±0.1"
"    $100,000 to $149,999","17,527,500","±66,678","14.6%","±0.1","14,081,999","±67,309","18.4%","±0.1","3,445,501","±32,804","7.9%","±0.1"
"    $150,000 or more","15,845,201","±56,874","13.2%","±0.1","13,731,195","±60,619","17.9%","±0.1","2,114,006","±22,709","4.9%","±0.1"
"    Median household income (dollars)","60,336","±86","60,336","±86","75,876","±130","75,876","±130","38,944","±153","38,944","±153"
"MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"    Less than $300","7,761,946","±48,806","6.5%","±0.1","6,014,075","±45,118","7.8%","±0.1","1,747,871","±20,203","4.0%","±0.1"
"    $300 to $499","12,548,484","±64,355","10.5%","±0.1","10,101,094","±60,387","13.2%","±0.1","2,447,390","±23,795","5.6%","±0.1"
"    $500 to $799","21,003,882","±76,330","17.5%","±0.1","12,226,539","±61,836","15.9%","±0.1","8,777,343","±54,262","20.2%","±0.1"
"    $800 to $999","14,672,825","±56,372","12.2%","±0.1","7,374,809","±44,087","9.6%","±0.1","7,298,016","±46,670","16.8%","±0.1"
"    $1,000 to $1,499","27,633,907","±73,454","23.0%","±0.1","15,667,320","±66,945","20.4%","±0.1","11,966,587","±60,538","27.6%","±0.1"
"    $1,500 to $1,999","15,547,736","±51,193","12.9%","±0.1","10,285,651","±48,978","13.4%","±0.1","5,262,085","±37,260","12.1%","±0.1"
"    $2,000 to $2,499","8,143,252","±47,810","6.8%","±0.1","6,092,747","±42,388","7.9%","±0.1","2,050,505","±24,967","4.7%","±0.1"
"    $2,500 to $2,999","4,497,855","±29,276","3.7%","±0.1","3,636,718","±26,972","4.7%","±0.1","861,137","±15,886","2.0%","±0.1"
"    $3,000 or more","6,108,097","±30,143","5.1%","±0.1","5,285,065","±29,619","6.9%","±0.1","823,032","±16,625","1.9%","±0.1"
"    No cash rent","2,144,834","±21,924","1.8%","±0.1","(X)","(X)","(X)","(X)","2,144,834","±21,924","4.9%","±0.1"
"    Median (dollars)","1,048","±1","1,048","±1","1,079","±3","1,079","±3","1,012","±2","1,012","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"    Less than $20,000","16,110,810","±57,394","13.4%","±0.1","6,526,123","±38,806","8.5%","±0.1","9,584,687","±54,607","22.1%","±0.1"
"        Less than 20 percent","1,048,766","±17,498","0.9%","±0.1","804,662","±14,077","1.0%","±0.1","244,104","±9,661","0.6%","±0.1"
"        20 to 29 percent","1,782,471","±19,073","1.5%","±0.1","914,553","±13,189","1.2%","±0.1","867,918","±13,413","2.0%","±0.1"
"        30 percent or more","13,279,573","±48,640","11.1%","±0.1","4,806,908","±32,957","6.3%","±0.1","8,472,665","±50,341","19.5%","±0.1"
"    $20,000 to $34,999","16,309,541","±61,938","13.6%","±0.1","8,383,083","±46,457","10.9%","±0.1","7,926,458","±52,342","18.3%","±0.1"
"        Less than 20 percent","3,261,404","±28,255","2.7%","±0.1","2,833,187","±25,527","3.7%","±0.1","428,217","±11,289","1.0%","±0.1"
"        20 to 29 percent","3,096,583","±23,721","2.6%","±0.1","1,700,375","±17,035","2.2%","±0.1","1,396,208","±18,278","3.2%","±0.1"
"        30 percent or more","9,951,554","±52,854","8.3%","±0.1","3,849,521","±33,828","5.0%","±0.1","6,102,033","±47,129","14.1%","±0.1"
"    $35,000 to $49,999","14,910,294","±64,768","12.4%","±0.1","8,628,594","±52,382","11.3%","±0.1","6,281,700","±46,949","14.5%","±0.1"
"        Less than 20 percent","4,745,257","±31,152","4.0%","±0.1","3,799,764","±30,969","5.0%","±0.1","945,493","±14,543","2.2%","±0.1"
"        20 to 29 percent","4,333,931","±38,650","3.6%","±0.1","1,997,205","±22,704","2.6%","±0.1","2,336,726","±28,403","5.4%","±0.1"
