"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","117,259,427","±146,938","73,991,995","±217,875","43,267,432","±107,258"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.5%","±0.1","1.9%","±0.1","6.1%","±0.1"
"    $5,000 to $9,999","3.8%","±0.1","1.9%","±0.1","7.2%","±0.1"
"    $10,000 to $14,999","5.3%","±0.1","3.2%","±0.1","8.8%","±0.1"
"    $15,000 to $19,999","5.2%","±0.1","3.6%","±0.1","7.9%","±0.1"
"    $20,000 to $24,999","5.3%","±0.1","4.0%","±0.1","7.6%","±0.1"
"    $25,000 to $34,999","10.0%","±0.1","8.3%","±0.1","13.0%","±0.1"
"    $35,000 to $49,999","13.5%","±0.1","12.5%","±0.1","15.2%","±0.1"
"    $50,000 to $74,999","17.8%","±0.1","18.9%","±0.1","16.0%","±0.1"
"    $75,000 to $99,999","12.0%","±0.1","14.3%","±0.1","8.1%","±0.1"
"    $100,000 to $149,999","13.1%","±0.1","16.9%","±0.1","6.5%","±0.1"
"    $150,000 or more","10.5%","±0.1","14.5%","±0.1","3.6%","±0.1"
"    Median household income (dollars)","53,657","±93","68,795","±124","34,397","±102"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $100","0.4%","±0.1","0.5%","±0.1","0.3%","±0.1"
"    $100 to $199","1.9%","±0.1","2.4%","±0.1","1.0%","±0.1"
"    $200 to $299","4.5%","±0.1","5.4%","±0.1","2.9%","±0.1"
"    $300 to $399","5.3%","±0.1","6.8%","±0.1","2.7%","±0.1"
"    $400 to $499","5.6%","±0.1","6.6%","±0.1","4.0%","±0.1"
"    $500 to $599","6.1%","±0.1","5.9%","±0.1","6.3%","±0.1"
"    $600 to $699","6.4%","±0.1","5.3%","±0.1","8.4%","±0.1"
"    $700 to $799","6.7%","±0.1","5.1%","±0.1","9.4%","±0.1"
"    $800 to $899","6.6%","±0.1","5.0%","±0.1","9.4%","±0.1"
"    $900 to $999","6.3%","±0.1","4.8%","±0.1","8.7%","±0.1"
"    $1,000 to $1,499","22.7%","±0.1","20.8%","±0.1","25.8%","±0.1"
"    $1,500 to $1,999","11.9%","±0.1","13.2%","±0.1","9.7%","±0.1"
"    $2,000 or more","13.6%","±0.1","18.0%","±0.1","6.2%","±0.1"
"    No cash rent","2.0%","±0.1","(X)","(X)","5.3%","±0.1"
"    Median (dollars)","987","±1","1,046","±2","934","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","15.6%","±0.1","9.7%","±0.1","25.6%","±0.1"
"        Less than 20 percent","1.0%","±0.1","1.2%","±0.1","0.6%","±0.1"
"        20 to 29 percent","1.6%","±0.1","1.4%","±0.1","2.1%","±0.1"
"        30 percent or more","13.0%","±0.1","7.2%","±0.1","22.9%","±0.1"
"    $20,000 to $34,999","15.0%","±0.1","12.4%","±0.1","19.5%","±0.1"
"        Less than 20 percent","3.0%","±0.1","4.0%","±0.1","1.1%","±0.1"
"        20 to 29 percent","3.0%","±0.1","2.5%","±0.1","3.8%","±0.1"
"        30 percent or more","9.1%","±0.1","5.8%","±0.1","14.6%","±0.1"
"    $35,000 to $49,999","13.2%","±0.1","12.5%","±0.1","14.5%","±0.1"
"        Less than 20 percent","4.2%","±0.1","5.3%","±0.1","2.4%","±0.1"
"        20 to 29 percent","4.0%","±0.1","2.9%","±0.1","5.9%","±0.1"
"        30 percent or more","5.0%","±0.1","4.2%","±0.1","6.2%","±0.1"
"    $50,000 to $74,999","17.6%","±0.1","18.9%","±0.1","15.3%","±0.1"
"        Less than 20 percent","8.2%","±0.1","9.6%","±0.1","6.0%","±0.1"
"        20 to 29 percent","5.6%","±0.1","5.2%","±0.1","6.2%","±0.1"
"        30 percent or more","3.8%","±0.1","4.1%","±0.1","3.2%","±0.1"
"    $75,000 or more","35.3%","±0.1","45.8%","±0.1","17.5%","±0.1"
"        Less than 20 percent","25.3%","±0.1","32.9%","±0.1","12.4%","±0.1"
"        20 to 29 percent","7.5%","±0.1","9.4%","±0.1","4.2%","±0.1"
"        30 percent or more","2.5%","±0.1","3.5%","±0.1","1.0%","±0.1"
"    Zero or negative income","1.3%","±0.1","0.8%","±0.1","2.2%","±0.1"
"    No cash rent","2.0%","±0.1","(X)","(X)","5.3%","±0.1"
