"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","122,802,852","±137,327","122,802,852","±137,327","78,724,862","±240,723","78,724,862","±240,723","44,077,990","±135,910","44,077,990","±135,910"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Less than $5,000","3,652,103","±34,429","3.0%","±0.1","1,348,646","±21,466","1.7%","±0.1","2,303,457","±27,576","5.2%","±0.1"
"        $5,000 to $9,999","3,466,804","±35,640","2.8%","±0.1","1,093,345","±16,964","1.4%","±0.1","2,373,459","±29,675","5.4%","±0.1"
"        $10,000 to $14,999","4,940,584","±35,307","4.0%","±0.1","1,891,734","±22,279","2.4%","±0.1","3,048,850","±31,461","6.9%","±0.1"
"        $15,000 to $19,999","4,838,678","±38,067","3.9%","±0.1","2,148,554","±25,536","2.7%","±0.1","2,690,124","±28,005","6.1%","±0.1"
"        $20,000 to $24,999","5,322,157","±42,105","4.3%","±0.1","2,507,048","±29,129","3.2%","±0.1","2,815,109","±31,803","6.4%","±0.1"
"        $25,000 to $34,999","10,305,222","±56,855","8.4%","±0.1","5,196,026","±37,644","6.6%","±0.1","5,109,196","±45,928","11.6%","±0.1"
"        $35,000 to $49,999","14,668,172","±69,058","11.9%","±0.1","8,141,778","±51,068","10.3%","±0.1","6,526,394","±52,958","14.8%","±0.1"
"        $50,000 to $74,999","21,328,725","±73,864","17.4%","±0.1","13,494,024","±70,291","17.1%","±0.1","7,834,701","±54,137","17.8%","±0.1"
"        $75,000 to $99,999","15,752,484","±75,827","12.8%","±0.1","11,220,895","±72,390","14.3%","±0.1","4,531,589","±38,300","10.3%","±0.1"
"        $100,000 to $149,999","19,302,919","±78,260","15.7%","±0.1","15,199,149","±80,918","19.3%","±0.1","4,103,770","±41,261","9.3%","±0.1"
"        $150,000 or more","19,225,004","±72,021","15.7%","±0.1","16,483,663","±74,082","20.9%","±0.1","2,741,341","±29,661","6.2%","±0.1"
