"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","114,567,419","±163,249","74,873,372","±216,091","39,694,047","±91,880"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.4%","±0.1","1.7%","±0.1","6.4%","±0.1"
"    $5,000 to $9,999","4.3%","±0.1","2.0%","±0.1","8.5%","±0.1"
"    $10,000 to $14,999","5.8%","±0.1","3.6%","±0.1","9.9%","±0.1"
"    $15,000 to $19,999","5.6%","±0.1","4.1%","±0.1","8.6%","±0.1"
"    $20,000 to $24,999","5.9%","±0.1","4.5%","±0.1","8.3%","±0.1"
"    $25,000 to $34,999","10.8%","±0.1","9.1%","±0.1","13.8%","±0.1"
"    $35,000 to $49,999","14.2%","±0.1","13.6%","±0.1","15.4%","±0.1"
"    $50,000 to $74,999","18.3%","±0.1","20.0%","±0.1","15.0%","±0.1"
"    $75,000 to $99,999","11.8%","±0.1","14.5%","±0.1","6.8%","±0.1"
"    $100,000 to $149,999","11.8%","±0.1","15.5%","±0.1","4.8%","±0.1"
"    $150,000 or more","8.1%","±0.1","11.2%","±0.1","2.3%","±0.1"
"    Median household income (dollars)","50,046","±64","62,898","±113","30,671","±78"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $100","0.4%","±0.1","0.4%","±0.1","0.4%","±0.1"
"    $100 to $199","2.1%","±0.1","2.5%","±0.1","1.5%","±0.1"
"    $200 to $299","4.7%","±0.1","5.5%","±0.1","3.1%","±0.1"
"    $300 to $399","5.6%","±0.1","6.8%","±0.1","3.2%","±0.1"
"    $400 to $499","5.9%","±0.1","6.2%","±0.1","5.3%","±0.1"
"    $500 to $599","6.3%","±0.1","5.4%","±0.1","8.1%","±0.1"
"    $600 to $699","6.6%","±0.1","4.9%","±0.1","9.9%","±0.1"
"    $700 to $799","6.6%","±0.1","4.7%","±0.1","10.3%","±0.1"
"    $800 to $899","6.4%","±0.1","4.6%","±0.1","9.7%","±0.1"
"    $900 to $999","5.9%","±0.1","4.6%","±0.1","8.3%","±0.1"
"    $1,000 to $1,499","21.2%","±0.1","20.4%","±0.1","22.9%","±0.1"
"    $1,500 to $1,999","11.7%","±0.1","13.8%","±0.1","7.6%","±0.1"
"    $2,000 or more","14.7%","±0.1","20.3%","±0.1","4.2%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.5%","±0.1"
"    Median (dollars)","976","±2","1,104","±3","855","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","17.1%","±0.1","10.7%","±0.1","29.0%","±0.1"
"        Less than 20 percent","1.2%","±0.1","1.4%","±0.1","0.8%","±0.1"
"        20 to 29 percent","1.9%","±0.1","1.6%","±0.1","2.5%","±0.1"
"        30 percent or more","14.0%","±0.1","7.7%","±0.1","25.7%","±0.1"
"    $20,000 to $34,999","16.2%","±0.1","13.7%","±0.1","21.0%","±0.1"
"        Less than 20 percent","3.3%","±0.1","4.3%","±0.1","1.5%","±0.1"
"        20 to 29 percent","3.4%","±0.1","2.6%","±0.1","5.0%","±0.1"
"        30 percent or more","9.5%","±0.1","6.8%","±0.1","14.6%","±0.1"
"    $35,000 to $49,999","14.0%","±0.1","13.6%","±0.1","14.7%","±0.1"
"        Less than 20 percent","4.5%","±0.1","5.3%","±0.1","3.0%","±0.1"
"        20 to 29 percent","4.1%","±0.1","3.0%","±0.1","6.2%","±0.1"
"        30 percent or more","5.4%","±0.1","5.4%","±0.1","5.4%","±0.1"
"    $50,000 to $74,999","18.0%","±0.1","20.0%","±0.1","14.3%","±0.1"
"        Less than 20 percent","8.0%","±0.1","8.9%","±0.1","6.3%","±0.1"
"        20 to 29 percent","5.5%","±0.1","5.5%","±0.1","5.5%","±0.1"
"        30 percent or more","4.5%","±0.1","5.6%","±0.1","2.5%","±0.1"
"    $75,000 or more","31.6%","±0.1","41.2%","±0.1","13.4%","±0.1"
"        Less than 20 percent","20.2%","±0.1","25.8%","±0.1","9.8%","±0.1"
"        20 to 29 percent","7.8%","±0.1","10.4%","±0.1","3.0%","±0.1"
"        30 percent or more","3.5%","±0.1","5.0%","±0.1","0.7%","±0.1"
"    Zero or negative income","1.2%","±0.1","0.7%","±0.1","2.2%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.5%","±0.1"
"PERCENT IMPUTED","","","","","",""
"    Tenure","1.2%","(X)","(X)","(X)","(X)","(X)"
"    Monthly housing costs","(X)","(X)","33.9%","(X)","(X)","(X)"
"    Gross rent","(X)","(X)","(X)","(X)","19.9%","(X)"
