"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","127,544,730","±97,632","127,544,730","±97,632","83,396,988","±187,164","83,396,988","±187,164","44,147,742","±126,106","44,147,742","±126,106"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Less than $5,000","4,500,775","±43,715","3.5%","±0.1","1,827,092","±22,962","2.2%","±0.1","2,673,683","±36,396","6.1%","±0.1"
"        $5,000 to $9,999","3,188,502","±32,756","2.5%","±0.1","1,147,852","±18,543","1.4%","±0.1","2,040,650","±24,951","4.6%","±0.1"
"        $10,000 to $14,999","4,919,505","±41,611","3.9%","±0.1","1,937,990","±25,052","2.3%","±0.1","2,981,515","±33,220","6.8%","±0.1"
"        $15,000 to $19,999","4,624,893","±45,988","3.6%","±0.1","2,107,979","±26,043","2.5%","±0.1","2,516,914","±32,473","5.7%","±0.1"
"        $20,000 to $24,999","4,942,656","±42,651","3.9%","±0.1","2,394,486","±22,305","2.9%","±0.1","2,548,170","±33,575","5.8%","±0.1"
"        $25,000 to $34,999","9,969,826","±56,656","7.8%","±0.1","5,082,559","±41,054","6.1%","±0.1","4,887,267","±40,533","11.1%","±0.1"
"        $35,000 to $49,999","14,364,338","±57,663","11.3%","±0.1","8,057,100","±52,596","9.7%","±0.1","6,307,238","±51,204","14.3%","±0.1"
"        $50,000 to $74,999","21,443,341","±83,930","16.8%","±0.1","13,542,693","±69,009","16.2%","±0.1","7,900,648","±63,235","17.9%","±0.1"
"        $75,000 to $99,999","16,276,811","±65,967","12.8%","±0.1","11,557,277","±60,976","13.9%","±0.1","4,719,534","±45,002","10.7%","±0.1"
"        $100,000 to $149,999","20,741,047","±78,086","16.3%","±0.1","16,299,647","±72,599","19.5%","±0.1","4,441,400","±39,271","10.1%","±0.1"
"        $150,000 or more","22,573,036","±76,769","17.7%","±0.1","19,442,313","±77,163","23.3%","±0.1","3,130,723","±34,932","7.1%","±0.1"
"        Median household income (dollars)","69,717","±134","69,717","±134","86,236","±181","86,236","±181","44,913","±158","44,913","±158"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"        Less than $300","6,769,712","±40,991","5.3%","±0.1","5,344,276","±36,179","6.4%","±0.1","1,425,436","±21,716","3.2%","±0.1"
