"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","116,291,033","±141,632","73,843,861","±212,871","42,447,172","±119,774"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.6%","±0.1","1.9%","±0.1","6.4%","±0.1"
"    $5,000 to $9,999","4.0%","±0.1","1.9%","±0.1","7.6%","±0.1"
"    $10,000 to $14,999","5.4%","±0.1","3.3%","±0.1","9.0%","±0.1"
"    $15,000 to $19,999","5.3%","±0.1","3.7%","±0.1","8.1%","±0.1"
"    $20,000 to $24,999","5.5%","±0.1","4.2%","±0.1","7.8%","±0.1"
"    $25,000 to $34,999","10.3%","±0.1","8.6%","±0.1","13.3%","±0.1"
"    $35,000 to $49,999","13.6%","±0.1","12.8%","±0.1","15.1%","±0.1"
"    $50,000 to $74,999","17.9%","±0.1","19.2%","±0.1","15.7%","±0.1"
"    $75,000 to $99,999","11.9%","±0.1","14.2%","±0.1","7.8%","±0.1"
"    $100,000 to $149,999","12.7%","±0.1","16.5%","±0.1","6.0%","±0.1"
"    $150,000 or more","9.9%","±0.1","13.6%","±0.1","3.3%","±0.1"
"    Median household income (dollars)","52,250","±65","66,828","±116","32,831","±135"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $100","0.5%","±0.1","0.5%","±0.1","0.4%","±0.1"
"    $100 to $199","2.1%","±0.1","2.7%","±0.1","1.2%","±0.1"
"    $200 to $299","4.8%","±0.1","5.8%","±0.1","3.0%","±0.1"
"    $300 to $399","5.6%","±0.1","7.1%","±0.1","2.9%","±0.1"
"    $400 to $499","5.8%","±0.1","6.7%","±0.1","4.4%","±0.1"
"    $500 to $599","6.2%","±0.1","5.8%","±0.1","6.9%","±0.1"
"    $600 to $699","6.6%","±0.1","5.3%","±0.1","8.9%","±0.1"
"    $700 to $799","6.7%","±0.1","5.0%","±0.1","9.7%","±0.1"
"    $800 to $899","6.6%","±0.1","4.9%","±0.1","9.5%","±0.1"
"    $900 to $999","6.2%","±0.1","4.8%","±0.1","8.6%","±0.1"
"    $1,000 to $1,499","22.1%","±0.1","20.6%","±0.1","24.7%","±0.1"
"    $1,500 to $1,999","11.6%","±0.1","13.1%","±0.1","8.9%","±0.1"
"    $2,000 or more","13.3%","±0.1","17.7%","±0.1","5.6%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.3%","±0.1"
"    Median (dollars)","966","±1","1,031","±2","905","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","16.1%","±0.1","10.0%","±0.1","26.6%","±0.1"
"        Less than 20 percent","1.1%","±0.1","1.3%","±0.1","0.7%","±0.1"
"        20 to 29 percent","1.7%","±0.1","1.4%","±0.1","2.3%","±0.1"
"        30 percent or more","13.2%","±0.1","7.3%","±0.1","23.7%","±0.1"
"    $20,000 to $34,999","15.4%","±0.1","12.8%","±0.1","19.9%","±0.1"
"        Less than 20 percent","3.2%","±0.1","4.3%","±0.1","1.2%","±0.1"
"        20 to 29 percent","3.1%","±0.1","2.5%","±0.1","4.2%","±0.1"
"        30 percent or more","9.0%","±0.1","5.9%","±0.1","14.5%","±0.1"
"    $35,000 to $49,999","13.4%","±0.1","12.8%","±0.1","14.4%","±0.1"
"        Less than 20 percent","4.5%","±0.1","5.5%","±0.1","2.7%","±0.1"
"        20 to 29 percent","4.1%","±0.1","3.0%","±0.1","6.0%","±0.1"
"        30 percent or more","4.8%","±0.1","4.3%","±0.1","5.7%","±0.1"
"    $50,000 to $74,999","17.7%","±0.1","19.2%","±0.1","15.0%","±0.1"
"        Less than 20 percent","8.4%","±0.1","9.7%","±0.1","6.1%","±0.1"
"        20 to 29 percent","5.5%","±0.1","5.2%","±0.1","6.0%","±0.1"
"        30 percent or more","3.8%","±0.1","4.3%","±0.1","2.9%","±0.1"
"    $75,000 or more","34.2%","±0.1","44.4%","±0.1","16.5%","±0.1"
"        Less than 20 percent","24.4%","±0.1","31.6%","±0.1","11.9%","±0.1"
"        20 to 29 percent","7.3%","±0.1","9.3%","±0.1","3.8%","±0.1"
"        30 percent or more","2.6%","±0.1","3.5%","±0.1","0.9%","±0.1"
"    Zero or negative income","1.4%","±0.1","0.8%","±0.1","2.3%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.3%","±0.1"
