"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","115,969,540","±150,555","74,119,256","±204,618","41,850,284","±99,327"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.5%","±0.1","1.8%","±0.1","6.5%","±0.1"
"    $5,000 to $9,999","4.2%","±0.1","2.0%","±0.1","8.1%","±0.1"
"    $10,000 to $14,999","5.6%","±0.1","3.5%","±0.1","9.5%","±0.1"
"    $15,000 to $19,999","5.5%","±0.1","3.9%","±0.1","8.3%","±0.1"
"    $20,000 to $24,999","5.6%","±0.1","4.3%","±0.1","7.9%","±0.1"
"    $25,000 to $34,999","10.4%","±0.1","8.8%","±0.1","13.3%","±0.1"
"    $35,000 to $49,999","13.8%","±0.1","13.0%","±0.1","15.1%","±0.1"
"    $50,000 to $74,999","18.0%","±0.1","19.5%","±0.1","15.4%","±0.1"
"    $75,000 to $99,999","11.9%","±0.1","14.4%","±0.1","7.4%","±0.1"
"    $100,000 to $149,999","12.4%","±0.1","16.2%","±0.1","5.6%","±0.1"
"    $150,000 or more","9.2%","±0.1","12.7%","±0.1","2.9%","±0.1"
"    Median household income (dollars)","51,371","±53","65,514","±105","31,888","±81"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $100","0.4%","±0.1","0.4%","±0.1","0.4%","±0.1"
"    $100 to $199","2.2%","±0.1","2.6%","±0.1","1.4%","±0.1"
"    $200 to $299","4.8%","±0.1","5.7%","±0.1","3.1%","±0.1"
"    $300 to $399","5.6%","±0.1","7.0%","±0.1","3.0%","±0.1"
"    $400 to $499","5.8%","±0.1","6.4%","±0.1","4.8%","±0.1"
"    $500 to $599","6.2%","±0.1","5.6%","±0.1","7.4%","±0.1"
"    $600 to $699","6.6%","±0.1","5.0%","±0.1","9.3%","±0.1"
"    $700 to $799","6.7%","±0.1","4.8%","±0.1","10.0%","±0.1"
"    $800 to $899","6.5%","±0.1","4.8%","±0.1","9.6%","±0.1"
"    $900 to $999","6.1%","±0.1","4.7%","±0.1","8.5%","±0.1"
"    $1,000 to $1,499","21.9%","±0.1","20.7%","±0.1","23.9%","±0.1"
"    $1,500 to $1,999","11.6%","±0.1","13.5%","±0.1","8.4%","±0.1"
"    $2,000 or more","13.8%","±0.1","18.7%","±0.1","5.0%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.3%","±0.1"
"    Median (dollars)","971","±1","1,066","±2","884","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","16.7%","±0.1","10.4%","±0.1","27.9%","±0.1"
"        Less than 20 percent","1.1%","±0.1","1.4%","±0.1","0.7%","±0.1"
"        20 to 29 percent","1.9%","±0.1","1.5%","±0.1","2.4%","±0.1"
"        30 percent or more","13.7%","±0.1","7.4%","±0.1","24.7%","±0.1"
"    $20,000 to $34,999","15.6%","±0.1","13.1%","±0.1","20.1%","±0.1"
"        Less than 20 percent","3.2%","±0.1","4.3%","±0.1","1.3%","±0.1"
"        20 to 29 percent","3.2%","±0.1","2.5%","±0.1","4.5%","±0.1"
"        30 percent or more","9.2%","±0.1","6.2%","±0.1","14.3%","±0.1"
"    $35,000 to $49,999","13.5%","±0.1","13.0%","±0.1","14.4%","±0.1"
"        Less than 20 percent","4.4%","±0.1","5.3%","±0.1","2.8%","±0.1"
"        20 to 29 percent","4.1%","±0.1","3.0%","±0.1","6.0%","±0.1"
"        30 percent or more","5.0%","±0.1","4.7%","±0.1","5.6%","±0.1"
"    $50,000 to $74,999","17.8%","±0.1","19.5%","±0.1","14.7%","±0.1"
"        Less than 20 percent","8.2%","±0.1","9.3%","±0.1","6.3%","±0.1"
"        20 to 29 percent","5.5%","±0.1","5.4%","±0.1","5.7%","±0.1"
"        30 percent or more","4.0%","±0.1","4.7%","±0.1","2.7%","±0.1"
"    $75,000 or more","33.2%","±0.1","43.3%","±0.1","15.4%","±0.1"
"        Less than 20 percent","22.7%","±0.1","29.2%","±0.1","11.1%","±0.1"
"        20 to 29 percent","7.6%","±0.1","10.0%","±0.1","3.5%","±0.1"
"        30 percent or more","2.9%","±0.1","4.1%","±0.1","0.8%","±0.1"
"    Zero or negative income","1.3%","±0.1","0.8%","±0.1","2.3%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.3%","±0.1"
"PERCENT IMPUTED","","","","","",""
"    Tenure","1.1%","(X)","(X)","(X)","(X)","(X)"
"    Monthly housing costs","(X)","(X)","34.8%","(X)","(X)","(X)"
"    Gross rent","(X)","(X)","(X)","(X)","20.3%","(X)"
