"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","121,520,180","±153,217","121,520,180","±153,217","77,708,394","±235,977","77,708,394","±235,977","43,811,786","±124,897","43,811,786","±124,897"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Less than $5,000","3,917,415","±33,581","3.2%","±0.1","1,477,438","±21,682","1.9%","±0.1","2,439,977","±25,242","5.6%","±0.1"
"        $5,000 to $9,999","3,681,254","±35,114","3.0%","±0.1","1,183,659","±19,561","1.5%","±0.1","2,497,595","±28,948","5.7%","±0.1"
"        $10,000 to $14,999","5,267,344","±40,230","4.3%","±0.1","2,069,464","±19,665","2.7%","±0.1","3,197,880","±32,430","7.3%","±0.1"
"        $15,000 to $19,999","5,241,202","±35,766","4.3%","±0.1","2,336,931","±25,523","3.0%","±0.1","2,904,271","±29,324","6.6%","±0.1"
"        $20,000 to $24,999","5,695,642","±42,544","4.7%","±0.1","2,706,773","±24,179","3.5%","±0.1","2,988,869","±32,769","6.8%","±0.1"
"        $25,000 to $34,999","10,786,234","±52,244","8.9%","±0.1","5,528,528","±30,389","7.1%","±0.1","5,257,706","±44,799","12.0%","±0.1"
"        $35,000 to $49,999","15,029,642","±61,551","12.4%","±0.1","8,511,793","±53,769","11.0%","±0.1","6,517,849","±52,645","14.9%","±0.1"
"        $50,000 to $74,999","21,097,947","±75,183","17.4%","±0.1","13,470,290","±73,302","17.3%","±0.1","7,627,657","±46,853","17.4%","±0.1"
"        $75,000 to $99,999","15,254,871","±64,508","12.6%","±0.1","11,022,975","±64,224","14.2%","±0.1","4,231,896","±37,909","9.7%","±0.1"
"        $100,000 to $149,999","18,234,918","±77,327","15.0%","±0.1","14,470,007","±71,673","18.6%","±0.1","3,764,911","±33,284","8.6%","±0.1"
"        $150,000 or more","17,313,711","±69,374","14.2%","±0.1","14,930,536","±66,151","19.2%","±0.1","2,383,175","±26,831","5.4%","±0.1"
"        Median household income (dollars)","61,937","±94","61,937","±94","78,045","±158","78,045","±158","40,531","±104","40,531","±104"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"        Less than $300","7,167,876","±45,649","5.9%","±0.1","5,491,023","±42,404","7.1%","±0.1","1,676,853","±23,233","3.8%","±0.1"
"        $300 to $499","12,356,605","±62,997","10.2%","±0.1","10,037,332","±57,440","12.9%","±0.1","2,319,273","±26,045","5.3%","±0.1"
"        $500 to $799","20,585,940","±60,969","16.9%","±0.1","12,551,532","±59,990","16.2%","±0.1","8,034,408","±44,854","18.3%","±0.1"
"        $800 to $999","14,438,484","±71,642","11.9%","±0.1","7,333,178","±53,127","9.4%","±0.1","7,105,306","±50,370","16.2%","±0.1"
"        $1,000 to $1,499","28,069,333","±73,755","23.1%","±0.1","15,670,229","±70,763","20.2%","±0.1","12,399,104","±63,732","28.3%","±0.1"
"        $1,500 to $1,999","16,439,806","±58,872","13.5%","±0.1","10,590,496","±54,905","13.6%","±0.1","5,849,310","±40,554","13.4%","±0.1"
"        $2,000 to $2,499","8,687,001","±43,425","7.1%","±0.1","6,352,818","±34,608","8.2%","±0.1","2,334,183","±30,355","5.3%","±0.1"
"        $2,500 to $2,999","4,867,540","±34,771","4.0%","±0.1","3,859,924","±31,199","5.0%","±0.1","1,007,616","±16,264","2.3%","±0.1"
"        $3,000 or more","6,762,693","±37,063","5.6%","±0.1","5,821,862","±36,730","7.5%","±0.1","940,831","±18,047","2.1%","±0.1"
"        No cash rent","2,144,902","±27,468","1.8%","±0.1","(X)","(X)","(X)","(X)","2,144,902","±27,468","4.9%","±0.1"
"        Median (dollars)","1,082","±1","1,082","±1","1,103","±2","1,103","±2","1,058","±2","1,058","±2"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","",""
