"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","114,991,725","±179,541","74,264,435","±230,440","40,727,290","±100,848"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.5%","±0.1","1.8%","±0.1","6.6%","±0.1"
"    $5,000 to $9,999","4.3%","±0.1","2.0%","±0.1","8.5%","±0.1"
"    $10,000 to $14,999","5.8%","±0.1","3.6%","±0.1","9.8%","±0.1"
"    $15,000 to $19,999","5.6%","±0.1","4.0%","±0.1","8.6%","±0.1"
"    $20,000 to $24,999","5.8%","±0.1","4.5%","±0.1","8.2%","±0.1"
"    $25,000 to $34,999","10.6%","±0.1","9.0%","±0.1","13.5%","±0.1"
"    $35,000 to $49,999","13.9%","±0.1","13.2%","±0.1","15.0%","±0.1"
"    $50,000 to $74,999","18.0%","±0.1","19.7%","±0.1","15.0%","±0.1"
"    $75,000 to $99,999","11.7%","±0.1","14.3%","±0.1","7.0%","±0.1"
"    $100,000 to $149,999","12.1%","±0.1","15.8%","±0.1","5.2%","±0.1"
"    $150,000 or more","8.7%","±0.1","12.0%","±0.1","2.6%","±0.1"
"    Median household income (dollars)","50,502","±73","64,063","±132","30,934","±89"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $100","0.4%","±0.1","0.4%","±0.1","0.4%","±0.1"
"    $100 to $199","2.1%","±0.1","2.4%","±0.1","1.5%","±0.1"
"    $200 to $299","4.6%","±0.1","5.4%","±0.1","3.1%","±0.1"
"    $300 to $399","5.4%","±0.1","6.8%","±0.1","3.0%","±0.1"
"    $400 to $499","5.9%","±0.1","6.4%","±0.1","5.0%","±0.1"
"    $500 to $599","6.3%","±0.1","5.5%","±0.1","7.7%","±0.1"
"    $600 to $699","6.6%","±0.1","5.0%","±0.1","9.6%","±0.1"
"    $700 to $799","6.7%","±0.1","4.7%","±0.1","10.2%","±0.1"
"    $800 to $899","6.4%","±0.1","4.7%","±0.1","9.5%","±0.1"
"    $900 to $999","5.9%","±0.1","4.6%","±0.1","8.4%","±0.1"
"    $1,000 to $1,499","21.7%","±0.1","20.7%","±0.1","23.5%","±0.1"
"    $1,500 to $1,999","11.8%","±0.1","13.8%","±0.1","8.0%","±0.1"
"    $2,000 or more","14.3%","±0.1","19.6%","±0.1","4.6%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.4%","±0.1"
"    Median (dollars)","979","±3","1,094","±3","871","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","17.1%","±0.1","10.7%","±0.1","28.9%","±0.1"
"        Less than 20 percent","1.1%","±0.1","1.3%","±0.1","0.8%","±0.1"
"        20 to 29 percent","1.9%","±0.1","1.5%","±0.1","2.5%","±0.1"
"        30 percent or more","14.1%","±0.1","7.8%","±0.1","25.6%","±0.1"
"    $20,000 to $34,999","15.9%","±0.1","13.4%","±0.1","20.5%","±0.1"
"        Less than 20 percent","3.2%","±0.1","4.2%","±0.1","1.3%","±0.1"
"        20 to 29 percent","3.3%","±0.1","2.6%","±0.1","4.6%","±0.1"
"        30 percent or more","9.5%","±0.1","6.6%","±0.1","14.7%","±0.1"
"    $35,000 to $49,999","13.6%","±0.1","13.2%","±0.1","14.3%","±0.1"
"        Less than 20 percent","4.3%","±0.1","5.1%","±0.1","2.8%","±0.1"
"        20 to 29 percent","4.0%","±0.1","3.0%","±0.1","6.0%","±0.1"
"        30 percent or more","5.3%","±0.1","5.2%","±0.1","5.6%","±0.1"
"    $50,000 to $74,999","17.8%","±0.1","19.7%","±0.1","14.3%","±0.1"
"        Less than 20 percent","7.9%","±0.1","8.8%","±0.1","6.1%","±0.1"
"        20 to 29 percent","5.5%","±0.1","5.5%","±0.1","5.6%","±0.1"
"        30 percent or more","4.4%","±0.1","5.3%","±0.1","2.7%","±0.1"
"    $75,000 or more","32.3%","±0.1","42.2%","±0.1","14.2%","±0.1"
"        Less than 20 percent","21.1%","±0.1","27.1%","±0.1","10.2%","±0.1"
"        20 to 29 percent","7.9%","±0.1","10.4%","±0.1","3.3%","±0.1"
"        30 percent or more","3.3%","±0.1","4.7%","±0.1","0.7%","±0.1"
"    Zero or negative income","1.3%","±0.1","0.8%","±0.1","2.3%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.4%","±0.1"
"PERCENT IMPUTED","","","","","",""
"    Tenure","1.0%","(X)","(X)","(X)","(X)","(X)"
"    Monthly housing costs","(X)","(X)","33.9%","(X)","(X)","(X)"
"    Gross rent","(X)","(X)","(X)","(X)","19.9%","(X)"
