"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","118,860,065","±154,606","75,022,569","±227,992","43,837,496","±103,352"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    One race --","","","","","",""
"        White","76.6%","±0.1","83.4%","±0.1","65.0%","±0.1"
"        Black or African American","12.3%","±0.1","7.9%","±0.1","19.8%","±0.1"
"        American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1"
"        Asian","4.6%","±0.1","4.3%","±0.1","5.3%","±0.1"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1"
"        Some other race","3.6%","±0.1","2.2%","±0.1","6.0%","±0.1"
"    Two or more races","2.0%","±0.1","1.5%","±0.1","2.9%","±0.1"
"Hispanic or Latino origin","12.9%","±0.1","9.3%","±0.1","19.1%","±0.1"
"White alone, not Hispanic or Latino","68.0%","±0.1","76.7%","±0.1","53.1%","±0.1"
"AGE OF HOUSEHOLDER","","","","","",""
"    Under 35 years","18.8%","±0.1","9.6%","±0.1","34.5%","±0.1"
"    35 to 44 years","17.1%","±0.1","15.3%","±0.1","20.3%","±0.1"
"    45 to 54 years","19.3%","±0.1","20.8%","±0.1","16.7%","±0.1"
"    55 to 64 years","19.7%","±0.1","23.3%","±0.1","13.5%","±0.1"
"    65 to 74 years","14.5%","±0.1","18.2%","±0.1","8.1%","±0.1"
"    75 to 84 years","7.4%","±0.1","9.3%","±0.1","4.3%","±0.1"
"    85 years and over","3.2%","±0.1","3.5%","±0.1","2.7%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"    Less than high school graduate","10.6%","±0.1","8.1%","±0.1","15.0%","±0.1"
"    High school graduate (includes equivalency)","24.5%","±0.1","23.6%","±0.1","26.3%","±0.1"
"    Some college or associate's degree","31.0%","±0.1","30.1%","±0.1","32.5%","±0.1"
"    Bachelor's degree or higher","33.9%","±0.1","38.3%","±0.1","26.3%","±0.2"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"    Moved in 2015 or later","19.1%","±0.1","8.6%","±0.1","37.0%","±0.1"
"    Moved in 2010 to 2014","28.0%","±0.1","20.5%","±0.1","40.9%","±0.1"
"    Moved in 2000 to 2009","25.9%","±0.1","32.0%","±0.1","15.4%","±0.1"
"    Moved in 1990 to 1999","13.2%","±0.1","18.6%","±0.1","4.0%","±0.1"
"    Moved in 1980 to 1989","6.5%","±0.1","9.5%","±0.1","1.4%","±0.1"
"    Moved in 1979 or earlier","7.3%","±0.1","10.7%","±0.1","1.3%","±0.1"
