"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","114,567,419","±163,249","74,873,372","±216,091","39,694,047","±91,880"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    One race --","","","","","",""
"        White","78.2%","±0.1","84.3%","±0.1","66.6%","±0.1"
"        Black or African American","12.0%","±0.1","8.1%","±0.1","19.3%","±0.1"
"        American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1"
"        Asian","4.0%","±0.1","3.6%","±0.1","4.8%","±0.1"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1"
"        Some other race","3.3%","±0.1","2.0%","±0.1","5.8%","±0.1"
"    Two or more races","1.7%","±0.1","1.3%","±0.1","2.4%","±0.1"
"Hispanic or Latino origin","11.6%","±0.1","8.4%","±0.1","17.7%","±0.1"
"White alone, not Hispanic or Latino","70.6%","±0.1","78.4%","±0.1","55.9%","±0.1"
"AGE OF HOUSEHOLDER","","","","","",""
"    Under 35 years","19.8%","±0.1","10.8%","±0.1","36.9%","±0.1"
"    35 to 44 years","18.6%","±0.1","17.6%","±0.1","20.4%","±0.1"
"    45 to 54 years","21.5%","±0.1","23.6%","±0.1","17.6%","±0.1"
"    55 to 64 years","18.4%","±0.1","21.9%","±0.1","11.7%","±0.1"
"    65 to 74 years","11.5%","±0.1","14.3%","±0.1","6.3%","±0.1"
"    75 to 84 years","7.2%","±0.1","8.7%","±0.1","4.4%","±0.1"
"    85 years and over","2.9%","±0.1","3.1%","±0.1","2.7%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"    Less than high school graduate","12.5%","±0.1","9.8%","±0.1","17.6%","±0.1"
"    High school graduate (includes equivalency)","26.2%","±0.1","25.5%","±0.1","27.4%","±0.1"
"    Some college or associate's degree","31.0%","±0.1","30.1%","±0.1","32.7%","±0.1"
"    Bachelor's degree or higher","30.3%","±0.1","34.5%","±0.1","22.3%","±0.1"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"    Moved in 2000 or later","62.5%","±0.1","49.1%","±0.1","87.6%","±0.1"
"    Moved in 1990 to 1999","18.5%","±0.1","24.1%","±0.1","7.9%","±0.1"
"    Moved in 1980 to 1989","8.6%","±0.1","11.9%","±0.1","2.5%","±0.1"
"    Moved in 1970 to 1979","5.7%","±0.1","8.1%","±0.1","1.2%","±0.1"
"    Moved in 1969 or earlier","4.7%","±0.1","6.8%","±0.1","0.9%","±0.1"
"PERCENT IMPUTED","","","","","",""
"    Tenure","1.2%","(X)","(X)","(X)","(X)","(X)"
"    Year householder moved into unit","3.4%","(X)","(X)","(X)","(X)","(X)"
