"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","120,062,818","±161,148","120,062,818","±161,148","76,684,018","±243,713","76,684,018","±243,713","43,378,800","±114,163","43,378,800","±114,163"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"    One race --","","","","","","","","","","","",""
"        White","91,620,445","±107,067","76.3%","±0.1","63,630,526","±171,588","83.0%","±0.1","27,989,919","±96,093","64.5%","±0.1"
"        Black or African American","14,800,044","±43,712","12.3%","±0.1","6,126,496","±43,008","8.0%","±0.1","8,673,548","±44,425","20.0%","±0.1"
"        American Indian and Alaska Native","882,702","±15,719","0.7%","±0.1","480,234","±11,929","0.6%","±0.1","402,468","±9,911","0.9%","±0.1"
"        Asian","5,739,939","±26,037","4.8%","±0.1","3,421,988","±25,849","4.5%","±0.1","2,317,951","±21,575","5.3%","±0.1"
"        Native Hawaiian and Other Pacific Islander","159,732","±5,799","0.1%","±0.1","65,808","±3,954","0.1%","±0.1","93,924","±4,949","0.2%","±0.1"
"        Some other race","4,383,033","±36,602","3.7%","±0.1","1,749,398","±23,791","2.3%","±0.1","2,633,635","±26,556","6.1%","±0.1"
"    Two or more races","2,476,923","±35,877","2.1%","±0.1","1,209,568","±25,755","1.6%","±0.1","1,267,355","±20,101","2.9%","±0.1"
"Hispanic or Latino origin","15,832,610","±49,679","13.2%","±0.1","7,471,778","±50,744","9.7%","±0.1","8,360,832","±35,155","19.3%","±0.1"
"White alone, not Hispanic or Latino","81,071,882","±83,326","67.5%","±0.1","58,261,487","±145,893","76.0%","±0.1","22,810,395","±91,265","52.6%","±0.1"
"AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    Under 35 years","22,441,555","±77,343","18.7%","±0.1","7,543,558","±70,387","9.8%","±0.1","14,897,997","±53,787","34.3%","±0.1"
"    35 to 44 years","20,553,274","±40,790","17.1%","±0.1","11,824,578","±56,129","15.4%","±0.1","8,728,696","±52,013","20.1%","±0.1"
"    45 to 54 years","22,670,618","±48,119","18.9%","±0.1","15,523,906","±67,253","20.2%","±0.1","7,146,712","±44,914","16.5%","±0.1"
"    55 to 64 years","23,705,245","±44,786","19.7%","±0.1","17,741,953","±53,604","23.1%","±0.1","5,963,292","±44,745","13.7%","±0.1"
"    65 to 74 years","17,730,164","±37,810","14.8%","±0.1","14,128,389","±45,838","18.4%","±0.1","3,601,775","±29,943","8.3%","±0.1"
"    75 to 84 years","9,130,156","±40,291","7.6%","±0.1","7,259,871","±36,275","9.5%","±0.1","1,870,285","±21,098","4.3%","±0.1"
"    85 years and over","3,831,806","±22,459","3.2%","±0.1","2,661,763","±23,041","3.5%","±0.1","1,170,043","±19,706","2.7%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","",""
"    Less than high school graduate","12,207,827","±57,330","10.2%","±0.1","5,956,150","±33,679","7.8%","±0.1","6,251,677","±49,880","14.4%","±0.1"
"    High school graduate (includes equivalency)","29,446,398","±80,937","24.5%","±0.1","17,807,520","±68,674","23.2%","±0.1","11,638,878","±70,628","26.8%","±0.1"
"    Some college or associate's degree","36,924,315","±99,778","30.8%","±0.1","22,976,160","±103,371","30.0%","±0.1","13,948,155","±65,411","32.2%","±0.1"
"    Bachelor's degree or higher","41,484,278","±164,171","34.6%","±0.1","29,944,188","±147,227","39.0%","±0.1","11,540,090","±53,446","26.6%","±0.1"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Moved in 2015 or later","33,950,508","±89,169","28.3%","±0.1","11,519,077","±66,825","15.0%","±0.1","22,431,431","±90,641","51.7%","±0.1"
"    Moved in 2010 to 2014","26,870,189","±80,066","22.4%","±0.1","14,397,957","±78,409","18.8%","±0.1","12,472,232","±60,585","28.8%","±0.1"
"    Moved in 2000 to 2009","28,579,991","±94,976","23.8%","±0.1","22,813,594","±92,437","29.8%","±0.1","5,766,397","±42,680","13.3%","±0.1"
"    Moved in 1990 to 1999","15,014,458","±67,362","12.5%","±0.1","13,415,081","±64,929","17.5%","±0.1","1,599,377","±22,291","3.7%","±0.1"
"    Moved in 1980 to 1989","7,440,916","±41,607","6.2%","±0.1","6,861,540","±40,738","8.9%","±0.1","579,376","±12,041","1.3%","±0.1"
"    Moved in 1979 or earlier","8,206,756","±42,769","6.8%","±0.1","7,676,769","±40,375","10.0%","±0.1","529,987","±11,450","1.2%","±0.1"
