"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","117,259,427","±146,938","73,991,995","±217,875","43,267,432","±107,258"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    One race --","","","","","",""
"        White","77.2%","±0.1","83.9%","±0.1","65.9%","±0.1"
"        Black or African American","12.2%","±0.1","8.0%","±0.1","19.5%","±0.1"
"        American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1"
"        Asian","4.5%","±0.1","4.1%","±0.1","5.1%","±0.1"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1"
"        Some other race","3.4%","±0.1","2.0%","±0.1","5.7%","±0.1"
"    Two or more races","1.9%","±0.1","1.4%","±0.1","2.7%","±0.1"
"Hispanic or Latino origin","12.5%","±0.1","8.9%","±0.1","18.7%","±0.1"
"White alone, not Hispanic or Latino","68.8%","±0.1","77.4%","±0.1","54.1%","±0.1"
"AGE OF HOUSEHOLDER","","","","","",""
"    Under 35 years","19.0%","±0.1","9.6%","±0.1","35.0%","±0.1"
"    35 to 44 years","17.6%","±0.1","15.9%","±0.1","20.6%","±0.1"
"    45 to 54 years","20.0%","±0.1","21.6%","±0.1","17.1%","±0.1"
"    55 to 64 years","19.4%","±0.1","23.1%","±0.1","13.0%","±0.1"
"    65 to 74 years","13.5%","±0.1","17.1%","±0.1","7.4%","±0.1"
"    75 to 84 years","7.3%","±0.1","9.2%","±0.1","4.1%","±0.1"
"    85 years and over","3.1%","±0.1","3.4%","±0.1","2.6%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"    Less than high school graduate","11.2%","±0.1","8.5%","±0.1","15.7%","±0.1"
"    High school graduate (includes equivalency)","25.2%","±0.1","24.3%","±0.1","26.6%","±0.1"
"    Some college or associate's degree","31.1%","±0.1","30.2%","±0.1","32.8%","±0.1"
"    Bachelor's degree or higher","32.5%","±0.1","36.9%","±0.1","24.9%","±0.1"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"    Moved in 2010 or later","38.4%","±0.1","20.0%","±0.1","70.0%","±0.1"
"    Moved in 2000 to 2009","31.2%","±0.1","36.7%","±0.1","21.9%","±0.1"
"    Moved in 1990 to 1999","14.8%","±0.1","20.6%","±0.1","4.9%","±0.1"
"    Moved in 1980 to 1989","7.2%","±0.1","10.4%","±0.1","1.7%","±0.1"
"    Moved in 1970 to 1979","4.8%","±0.1","7.1%","±0.1","0.9%","±0.1"
"    Moved in 1969 or earlier","3.5%","±0.1","5.2%","±0.1","0.6%","±0.1"
