"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","115,969,540","±150,555","74,119,256","±204,618","41,850,284","±99,327"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    One race --","","","","","",""
"        White","77.8%","±0.1","84.2%","±0.1","66.5%","±0.1"
"        Black or African American","12.1%","±0.1","8.1%","±0.1","19.3%","±0.1"
"        American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1"
"        Asian","4.2%","±0.1","3.7%","±0.1","4.9%","±0.1"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1"
"        Some other race","3.3%","±0.1","1.9%","±0.1","5.7%","±0.1"
"    Two or more races","1.8%","±0.1","1.4%","±0.1","2.5%","±0.1"
"Hispanic or Latino origin","12.1%","±0.1","8.6%","±0.1","18.2%","±0.1"
"White alone, not Hispanic or Latino","69.8%","±0.1","78.0%","±0.1","55.2%","±0.1"
"AGE OF HOUSEHOLDER","","","","","",""
"    Under 35 years","19.3%","±0.1","9.9%","±0.1","36.1%","±0.1"
"    35 to 44 years","18.0%","±0.1","16.5%","±0.1","20.7%","±0.1"
"    45 to 54 years","20.8%","±0.1","22.7%","±0.1","17.3%","±0.1"
"    55 to 64 years","19.0%","±0.1","22.7%","±0.1","12.4%","±0.1"
"    65 to 74 years","12.5%","±0.1","15.8%","±0.1","6.7%","±0.1"
"    75 to 84 years","7.3%","±0.1","9.0%","±0.1","4.1%","±0.1"
"    85 years and over","3.1%","±0.1","3.3%","±0.1","2.7%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"    Less than high school graduate","11.8%","±0.1","9.2%","±0.1","16.5%","±0.1"
"    High school graduate (includes equivalency)","25.7%","±0.1","25.2%","±0.1","26.7%","±0.1"
"    Some college or associate's degree","31.2%","±0.1","30.2%","±0.1","33.1%","±0.1"
"    Bachelor's degree or higher","31.2%","±0.1","35.4%","±0.1","23.8%","±0.1"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"    Moved in 2010 or later","27.2%","±0.1","10.9%","±0.1","56.0%","±0.1"
"    Moved in 2000 to 2009","39.2%","±0.1","41.9%","±0.1","34.4%","±0.1"
"    Moved in 1990 to 1999","16.4%","±0.1","22.3%","±0.1","5.9%","±0.1"
"    Moved in 1980 to 1989","7.9%","±0.1","11.3%","±0.1","2.0%","±0.1"
"    Moved in 1970 to 1979","5.2%","±0.1","7.6%","±0.1","1.0%","±0.1"
"    Moved in 1969 or earlier","4.1%","±0.1","6.0%","±0.1","0.7%","±0.1"
"PERCENT IMPUTED","","","","","",""
"    Tenure","1.1%","(X)","(X)","(X)","(X)","(X)"
"    Year householder moved into unit","2.7%","(X)","(X)","(X)","(X)","(X)"
