"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","114,991,725","±179,541","74,264,435","±230,440","40,727,290","±100,848"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    One race --","","","","","",""
"        White","78.0%","±0.1","84.3%","±0.1","66.6%","±0.1"
"        Black or African American","12.1%","±0.1","8.1%","±0.1","19.3%","±0.1"
"        American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1"
"        Asian","4.0%","±0.1","3.6%","±0.1","4.8%","±0.1"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1"
"        Some other race","3.3%","±0.1","2.0%","±0.1","5.8%","±0.1"
"    Two or more races","1.7%","±0.1","1.3%","±0.1","2.4%","±0.1"
"Hispanic or Latino origin","11.9%","±0.1","8.5%","±0.1","18.0%","±0.1"
"White alone, not Hispanic or Latino","70.2%","±0.1","78.2%","±0.1","55.5%","±0.1"
"AGE OF HOUSEHOLDER","","","","","",""
"    Under 35 years","19.5%","±0.1","10.3%","±0.1","36.2%","±0.1"
"    35 to 44 years","18.3%","±0.1","17.0%","±0.1","20.7%","±0.1"
"    45 to 54 years","21.2%","±0.1","23.2%","±0.1","17.5%","±0.1"
"    55 to 64 years","18.9%","±0.1","22.6%","±0.1","12.2%","±0.1"
"    65 to 74 years","11.8%","±0.1","14.8%","±0.1","6.4%","±0.1"
"    75 to 84 years","7.3%","±0.1","8.9%","±0.1","4.3%","±0.1"
"    85 years and over","3.0%","±0.1","3.2%","±0.1","2.8%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"    Less than high school graduate","12.3%","±0.1","9.6%","±0.1","17.2%","±0.1"
"    High school graduate (includes equivalency)","26.0%","±0.1","25.5%","±0.1","27.0%","±0.1"
"    Some college or associate's degree","31.1%","±0.1","30.2%","±0.1","32.9%","±0.1"
"    Bachelor's degree or higher","30.6%","±0.1","34.8%","±0.1","22.9%","±0.1"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"    Moved in 2000 or later","64.4%","±0.1","50.9%","±0.1","89.1%","±0.1"
"    Moved in 1990 to 1999","17.4%","±0.1","23.2%","±0.1","6.8%","±0.1"
"    Moved in 1980 to 1989","8.2%","±0.1","11.6%","±0.1","2.2%","±0.1"
"    Moved in 1970 to 1979","5.5%","±0.1","7.9%","±0.1","1.1%","±0.1"
"    Moved in 1969 or earlier","4.4%","±0.1","6.4%","±0.1","0.8%","±0.1"
"PERCENT IMPUTED","","","","","",""
"    Tenure","1.0%","(X)","(X)","(X)","(X)","(X)"
"    Year householder moved into unit","3.2%","(X)","(X)","(X)","(X)","(X)"
