"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","118,208,250","±155,130","74,506,512","±228,238","43,701,738","±113,291"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    One race --","","","","","",""
"        White","77.0%","±0.1","83.7%","±0.1","65.7%","±0.1"
"        Black or African American","12.3%","±0.1","8.0%","±0.1","19.6%","±0.1"
"        American Indian and Alaska Native","0.7%","±0.1","0.6%","±0.1","0.9%","±0.1"
"        Asian","4.5%","±0.1","4.2%","±0.1","5.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1"
"        Some other race","3.4%","±0.1","2.1%","±0.1","5.8%","±0.1"
"    Two or more races","1.9%","±0.1","1.5%","±0.1","2.7%","±0.1"
"Hispanic or Latino origin","12.7%","±0.1","9.1%","±0.1","18.9%","±0.1"
"White alone, not Hispanic or Latino","68.4%","±0.1","77.0%","±0.1","53.7%","±0.1"
"AGE OF HOUSEHOLDER","","","","","",""
"    Under 35 years","18.9%","±0.1","9.6%","±0.1","34.7%","±0.1"
"    35 to 44 years","17.4%","±0.1","15.6%","±0.1","20.5%","±0.1"
"    45 to 54 years","19.7%","±0.1","21.3%","±0.1","16.9%","±0.1"
"    55 to 64 years","19.5%","±0.1","23.2%","±0.1","13.2%","±0.1"
"    65 to 74 years","14.0%","±0.1","17.7%","±0.1","7.7%","±0.1"
"    75 to 84 years","7.4%","±0.1","9.2%","±0.1","4.2%","±0.1"
"    85 years and over","3.2%","±0.1","3.5%","±0.1","2.7%","±0.1"
"EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"    Less than high school graduate","10.9%","±0.1","8.3%","±0.1","15.3%","±0.1"
"    High school graduate (includes equivalency)","24.9%","±0.1","24.1%","±0.1","26.3%","±0.1"
"    Some college or associate's degree","31.1%","±0.1","30.0%","±0.1","32.8%","±0.1"
"    Bachelor's degree or higher","33.1%","±0.1","37.5%","±0.1","25.6%","±0.1"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"    Moved in 2015 or later","7.4%","±0.1","2.8%","±0.1","15.3%","±0.1"
"    Moved in 2010 to 2014","35.8%","±0.1","21.9%","±0.1","59.4%","±0.1"
"    Moved in 2000 to 2009","28.2%","±0.1","34.1%","±0.1","18.0%","±0.1"
"    Moved in 1990 to 1999","14.0%","±0.1","19.7%","±0.1","4.4%","±0.1"
"    Moved in 1980 to 1989","6.8%","±0.1","10.0%","±0.1","1.5%","±0.1"
"    Moved in 1979 or earlier","7.8%","±0.1","11.5%","±0.1","1.4%","±0.1"
