"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","127,544,730","±97,632","127,544,730","±97,632","83,396,988","±187,164","83,396,988","±187,164","44,147,742","±126,106","44,147,742","±126,106"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","",""
"            White","85,344,506","±82,195","66.9%","±0.1","61,958,636","±124,008","74.3%","±0.1","23,385,870","±96,453","53.0%","±0.1"
"            Black or African American","15,274,070","±42,592","12.0%","±0.1","6,718,484","±40,972","8.1%","±0.1","8,555,586","±55,627","19.4%","±0.1"
"            American Indian and Alaska Native","1,005,703","±14,296","0.8%","±0.1","542,102","±12,141","0.7%","±0.1","463,601","±11,574","1.1%","±0.1"
"            Asian","6,468,918","±31,075","5.1%","±0.1","4,055,203","±29,313","4.9%","±0.1","2,413,715","±24,562","5.5%","±0.1"
"            Native Hawaiian and Other Pacific Islander","173,837","±5,308","0.1%","±0.1","77,080","±5,199","0.1%","±0.1","96,757","±5,069","0.2%","±0.1"
"            Some other race","6,879,797","±41,873","5.4%","±0.1","3,191,486","±31,621","3.8%","±0.1","3,688,311","±35,717","8.4%","±0.1"
"        Two or more races","12,397,899","±58,017","9.7%","±0.1","6,853,997","±48,732","8.2%","±0.1","5,543,902","±44,553","12.6%","±0.1"
"        Hispanic or Latino origin","18,293,521","±45,425","14.3%","±0.1","9,259,470","±55,639","11.1%","±0.1","9,034,051","±47,404","20.5%","±0.1"
"        White alone, not Hispanic or Latino","82,171,862","±64,792","64.4%","±0.1","60,231,412","±114,701","72.2%","±0.1","21,940,450","±89,765","49.7%","±0.1"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"        Under 35 years","24,258,153","±66,295","19.0%","±0.1","8,883,450","±66,618","10.7%","±0.1","15,374,703","±62,712","34.8%","±0.1"
"        35 to 44 years","22,460,209","±48,703","17.6%","±0.1","13,678,275","±47,670","16.4%","±0.1","8,781,934","±52,053","19.9%","±0.1"
"        45 to 54 years","22,103,315","±41,101","17.3%","±0.1","15,433,423","±54,242","18.5%","±0.1","6,669,892","±46,356","15.1%","±0.1"
"        55 to 64 years","24,440,662","±42,900","19.2%","±0.1","18,431,837","±51,576","22.1%","±0.1","6,008,825","±39,491","13.6%","±0.1"
"        65 to 74 years","20,449,452","±40,418","16.0%","±0.1","16,243,115","±46,012","19.5%","±0.1","4,206,337","±32,147","9.5%","±0.1"
"        75 to 84 years","10,084,196","±38,014","7.9%","±0.1","8,035,535","±35,078","9.6%","±0.1","2,048,661","±23,437","4.6%","±0.1"
"        85 years and over","3,748,743","±26,560","2.9%","±0.1","2,691,353","±23,842","3.2%","±0.1","1,057,390","±14,638","2.4%","±0.1"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","",""
"        Less than high school graduate","11,184,547","±70,481","8.8%","±0.1","5,557,311","±42,780","6.7%","±0.1","5,627,236","±51,999","12.7%","±0.1"
"        High school graduate (includes equivalency)","29,940,810","±87,906","23.5%","±0.1","18,378,269","±64,004","22.0%","±0.1","11,562,541","±69,010","26.2%","±0.1"
"        Some college or associate's degree","38,134,444","±102,652","29.9%","±0.1","24,388,173","±87,504","29.2%","±0.1","13,746,271","±75,093","31.1%","±0.1"
"        Bachelor's degree or higher","48,284,929","±157,615","37.9%","±0.1","35,073,235","±146,224","42.1%","±0.1","13,211,694","±58,268","29.9%","±0.1"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"        Moved in 2019 or later","34,784,732","±98,409","27.3%","±0.1","13,440,123","±72,336","16.1%","±0.1","21,344,609","±99,369","48.3%","±0.2"
"        Moved in 2015 to 2018","28,234,034","±89,673","22.1%","±0.1","16,291,126","±75,912","19.5%","±0.1","11,942,908","±67,754","27.1%","±0.1"
"        Moved in 2010 to 2014","16,462,478","±75,658","12.9%","±0.1","11,241,504","±64,005","13.5%","±0.1","5,220,974","±40,024","11.8%","±0.1"
"        Moved in 2000 to 2009","22,180,943","±85,242","17.4%","±0.1","18,631,583","±76,561","22.3%","±0.1","3,549,360","±32,804","8.0%","±0.1"
"        Moved in 1990 to 1999","12,938,673","±60,316","10.1%","±0.1","11,719,879","±56,972","14.1%","±0.1","1,218,794","±21,728","2.8%","±0.1"
"        Moved in 1989 or earlier","12,943,870","±60,252","10.1%","±0.1","12,072,773","±57,294","14.5%","±0.1","871,097","±15,395","2.0%","±0.1"
