"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","122,802,852","±137,327","122,802,852","±137,327","78,724,862","±240,723","78,724,862","±240,723","44,077,990","±135,910","44,077,990","±135,910"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","",""
"            White","93,145,172","±104,092","75.8%","±0.1","64,910,316","±170,223","82.5%","±0.1","28,234,856","±103,256","64.1%","±0.1"
"            Black or African American","15,382,489","±40,152","12.5%","±0.1","6,456,629","±44,918","8.2%","±0.1","8,925,860","±51,984","20.3%","±0.1"
"            American Indian and Alaska Native","952,313","±13,240","0.8%","±0.1","519,905","±11,508","0.7%","±0.1","432,408","±10,078","1.0%","±0.1"
"            Asian","6,052,073","±23,724","4.9%","±0.1","3,666,975","±27,624","4.7%","±0.1","2,385,098","±22,749","5.4%","±0.1"
"            Native Hawaiian and Other Pacific Islander","170,390","±8,138","0.1%","±0.1","68,306","±4,740","0.1%","±0.1","102,084","±7,330","0.2%","±0.1"
"            Some other race","4,422,288","±31,085","3.6%","±0.1","1,793,642","±23,777","2.3%","±0.1","2,628,646","±29,926","6.0%","±0.1"
"        Two or more races","2,678,127","±46,109","2.2%","±0.1","1,309,089","±29,672","1.7%","±0.1","1,369,038","±24,949","3.1%","±0.1"
"        Hispanic or Latino origin","16,681,970","±50,906","13.6%","±0.1","8,019,989","±58,373","10.2%","±0.1","8,661,981","±46,719","19.7%","±0.1"
"        White alone, not Hispanic or Latino","81,930,212","±88,967","66.7%","±0.1","59,102,566","±139,921","75.1%","±0.1","22,827,646","±93,942","51.8%","±0.1"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"        Under 35 years","22,996,169","±82,088","18.7%","±0.1","7,830,987","±78,499","9.9%","±0.1","15,165,182","±51,007","34.4%","±0.1"
"        35 to 44 years","20,985,078","±53,363","17.1%","±0.1","12,226,832","±62,688","15.5%","±0.1","8,758,246","±57,730","19.9%","±0.1"
"        45 to 54 years","21,836,008","±46,809","17.8%","±0.1","14,959,165","±66,359","19.0%","±0.1","6,876,843","±57,218","15.6%","±0.1"
"        55 to 64 years","23,990,269","±49,723","19.5%","±0.1","17,954,499","±52,450","22.8%","±0.1","6,035,770","±44,891","13.7%","±0.1"
"        65 to 74 years","18,932,893","±41,522","15.4%","±0.1","14,999,670","±50,688","19.1%","±0.1","3,933,223","±33,763","8.9%","±0.1"
"        75 to 84 years","10,079,045","±30,937","8.2%","±0.1","7,983,495","±33,208","10.1%","±0.1","2,095,550","±19,608","4.8%","±0.1"
"        85 years and over","3,983,390","±27,261","3.2%","±0.1","2,770,214","±23,735","3.5%","±0.1","1,213,176","±17,129","2.8%","±0.1"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","",""
"        Less than high school graduate","11,760,638","±76,619","9.6%","±0.1","5,764,895","±43,276","7.3%","±0.1","5,995,743","±60,039","13.6%","±0.1"
"        High school graduate (includes equivalency)","29,720,521","±101,146","24.2%","±0.1","18,037,267","±72,336","22.9%","±0.1","11,683,254","±85,343","26.5%","±0.2"
"        Some college or associate's degree","37,368,716","±95,662","30.4%","±0.1","23,436,821","±99,787","29.8%","±0.1","13,931,895","±75,587","31.6%","±0.1"
"        Bachelor's degree or higher","43,952,977","±172,747","35.8%","±0.1","31,485,879","±155,683","40.0%","±0.1","12,467,098","±63,376","28.3%","±0.2"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"        Moved in 2017 or later","34,411,155","±77,862","28.0%","±0.1","12,074,658","±73,577","15.3%","±0.1","22,336,497","±97,257","50.7%","±0.1"
"        Moved in 2015 to 2016","15,382,632","±65,124","12.5%","±0.1","8,081,625","±60,884","10.3%","±0.1","7,301,007","±45,768","16.6%","±0.1"
"        Moved in 2010 to 2014","19,530,199","±69,167","15.9%","±0.1","12,192,307","±64,379","15.5%","±0.1","7,337,892","±47,737","16.6%","±0.1"
"        Moved in 2000 to 2009","24,934,374","±86,988","20.3%","±0.1","20,256,273","±82,218","25.7%","±0.1","4,678,101","±39,398","10.6%","±0.1"
"        Moved in 1990 to 1999","14,024,567","±55,875","11.4%","±0.1","12,619,341","±52,605","16.0%","±0.1","1,405,226","±20,136","3.2%","±0.1"
"        Moved in 1989 or earlier","14,519,925","±59,817","11.8%","±0.1","13,500,658","±54,671","17.1%","±0.1","1,019,267","±20,502","2.3%","±0.1"
