"Label (Grouping)","United States!!Number!!Estimate","United States!!Number!!Margin of Error","United States!!Percent Distribution!!Estimate","United States!!Percent Distribution!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","127,544,730","±97,632","127,544,730","±97,632","69,717","±134"
"        One race--","","","","","",""
"            White","85,344,506","±82,195","66.9%","±0.1","74,932","±163"
"            Black or African American","15,274,070","±42,592","12.0%","±0.1","46,774","±335"
"            American Indian and Alaska Native","1,005,703","±14,296","0.8%","±0.1","53,149","±965"
"            Asian","6,468,918","±31,075","5.1%","±0.1","100,572","±606"
"            Native Hawaiian and Other Pacific Islander","173,837","±5,308","0.1%","±0.1","69,973","±3,137"
"            Some other race","6,879,797","±41,873","5.4%","±0.1","57,671","±583"
"        Two or more races","12,397,899","±58,017","9.7%","±0.1","63,854","±388"
"        Hispanic or Latino origin (of any race)","18,293,521","±45,425","14.3%","±0.1","60,566","±294"
"        White alone, not Hispanic or Latino","82,171,862","±64,792","64.4%","±0.1","75,412","±159"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","4,788,820","±35,657","3.8%","±0.1","38,164","±576"
"    25 to 44 years","41,929,542","±67,297","32.9%","±0.1","77,338","±220"
"    45 to 64 years","46,543,977","±55,146","36.5%","±0.1","83,812","±240"
"    65 years and over","34,282,391","±56,255","26.9%","±0.1","50,969","±156"
"FAMILIES","","","","","",""
"    Families","82,464,986","±105,035","82,464,986","±105,035","85,806","±198"
"        With own children of householder under 18 years","33,596,506","±84,487","40.7%","±0.1","84,197","±322"
"        With no own children of householder under 18 years","48,868,480","±101,665","59.3%","±0.1","86,757","±184"
"        Married-couple families","60,360,084","±126,162","73.2%","±0.1","102,432","±201"
"            With own children under 18 years","22,847,275","±69,073","27.7%","±0.1","112,461","±417"
"        Female householder, no spouse present","15,671,584","±76,412","19.0%","±0.1","43,844","±292"
"            With own children under 18 years","7,875,416","±61,365","9.6%","±0.1","32,990","±303"
"        Male householder, no spouse present","6,433,318","±53,439","7.8%","±0.1","60,018","±422"
"            With own children under 18 years","2,873,815","±29,135","3.5%","±0.1","51,255","±331"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","38,643,620","±104,900","46.9%","±0.1","75,143","±230"
"    3-person families","18,243,475","±72,916","22.1%","±0.1","88,692","±362"
"    4-person families","14,690,327","±65,027","17.8%","±0.1","105,901","±519"
"    5-person families","6,770,445","±49,903","8.2%","±0.1","99,694","±819"
"    6-person families","2,552,333","±29,448","3.1%","±0.1","97,292","±1,129"
"    7-or-more person families","1,564,786","±24,381","1.9%","±0.1","102,212","±1,484"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","12,994,539","±54,325","15.8%","±0.1","45,244","±298"
"    1 earner","26,404,502","±83,356","32.0%","±0.1","60,728","±184"
"    2 earners","33,443,173","±103,797","40.6%","±0.1","110,349","±268"
"    3 or more earners","9,622,772","±51,881","11.7%","±0.1","136,435","±656"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","45,079,744","±90,684","45,079,744","±90,684","41,549","±114"
"        Female householder","23,881,553","±66,802","53.0%","±0.1","36,719","±158"
"            Living alone","19,691,382","±64,824","43.7%","±0.1","31,758","±136"
"            Not living alone","4,190,171","±39,768","9.3%","±0.1","72,288","±652"
"        Male householder","21,198,191","±71,621","47.0%","±0.1","47,748","±335"
"            Living alone","16,359,032","±66,229","36.3%","±0.1","40,725","±196"
"            Not living alone","4,839,159","±41,416","10.7%","±0.1","80,729","±671"
