"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","118,860,065","±154,606","57,617","±115"
"    One race--","","","",""
"        White","76.6%","±0.1","61,349","±88"
"        Black or African American","12.3%","±0.1","38,555","±248"
"        American Indian and Alaska Native","0.7%","±0.1","39,719","±1,029"
"        Asian","4.6%","±0.1","80,720","±446"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","57,112","±3,218"
"        Some other race","3.6%","±0.1","44,798","±495"
"    Two or more races","2.0%","±0.1","53,114","±685"
"Hispanic or Latino origin (of any race)","12.9%","±0.1","46,882","±210"
"White alone, not Hispanic or Latino","68.0%","±0.1","63,155","±127"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","3.7%","±0.1","30,524","±223"
"    25 to 44 years","32.2%","±0.1","62,815","±204"
"    45 to 64 years","39.0%","±0.1","69,822","±202"
"    65 years and over","25.1%","±0.1","42,113","±138"
"FAMILIES","","","",""
"    Families","77,785,962","±125,088","71,062","±119"
"        With own children of householder under 18 years","42.2%","±0.1","68,011","±262"
"        With no own children of householder under 18 years","57.8%","±0.1","72,783","±171"
"        Married-couple families","73.2%","±0.1","85,290","±122"
"        Female householder, no husband present","19.3%","±0.1","35,380","±157"
"        Male householder, no wife present","7.4%","±0.1","49,599","±393"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","41,074,103","±103,964","34,963","±138"
"        Female householder","53.2%","±0.1","30,423","±122"
"            Living alone","44.8%","±0.1","26,630","±123"
"            Not living alone","8.4%","±0.1","59,803","±568"
"        Male householder","46.8%","±0.1","40,682","±131"
"            Living alone","36.2%","±0.1","35,168","±146"
"            Not living alone","10.6%","±0.1","65,629","±451"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","35.3%","(X)","(X)","(X)"
"    Family income in the past 12 months","36.0%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","32.2%","(X)","(X)","(X)"
