"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","118,208,250","±155,130","55,775","±85"
"    One race--","","","",""
"        White","77.0%","±0.1","59,698","±140"
"        Black or African American","12.3%","±0.1","36,544","±162"
"        American Indian and Alaska Native","0.7%","±0.1","38,530","±939"
"        Asian","4.5%","±0.1","77,368","±547"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","55,607","±2,870"
"        Some other race","3.4%","±0.1","42,461","±349"
"    Two or more races","1.9%","±0.1","51,737","±460"
"Hispanic or Latino origin (of any race)","12.7%","±0.1","44,782","±281"
"White alone, not Hispanic or Latino","68.4%","±0.1","61,394","±95"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","3.8%","±0.1","28,411","±323"
"    25 to 44 years","32.5%","±0.1","60,810","±107"
"    45 to 64 years","39.2%","±0.1","67,224","±155"
"    65 years and over","24.5%","±0.1","40,971","±123"
"FAMILIES","","","",""
"    Families","77,530,756","±136,900","68,260","±158"
"        With own children of householder under 18 years","42.6%","±0.1","64,701","±297"
"        With no own children of householder under 18 years","57.4%","±0.1","70,577","±137"
"        Married-couple families","73.2%","±0.1","82,078","±115"
"        Female householder, no husband present","19.5%","±0.1","33,342","±159"
"        Male householder, no wife present","7.4%","±0.1","46,778","±254"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","40,677,494","±98,602","33,617","±128"
"        Female householder","53.3%","±0.1","29,721","±143"
"            Living alone","44.9%","±0.1","26,081","±101"
"            Not living alone","8.4%","±0.1","57,166","±416"
"        Male householder","46.7%","±0.1","39,636","±215"
"            Living alone","36.1%","±0.1","33,807","±224"
"            Not living alone","10.6%","±0.1","63,400","±573"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","35.6%","(X)","(X)","(X)"
"    Family income in the past 12 months","36.2%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","32.7%","(X)","(X)","(X)"
