"Label (Grouping)","United States!!Number!!Estimate","United States!!Number!!Margin of Error","United States!!Percent Distribution!!Estimate","United States!!Percent Distribution!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","122,802,852","±137,327","122,802,852","±137,327","65,712","±118"
"        One race--","","","","","",""
"            White","93,145,172","±104,092","75.8%","±0.1","69,823","±164"
"            Black or African American","15,382,489","±40,152","12.5%","±0.1","43,862","±335"
"            American Indian and Alaska Native","952,313","±13,240","0.8%","±0.1","45,476","±958"
"            Asian","6,052,073","±23,724","4.9%","±0.1","93,759","±942"
"            Native Hawaiian and Other Pacific Islander","170,390","±8,138","0.1%","±0.1","66,464","±2,470"
"            Some other race","4,422,288","±31,085","3.6%","±0.1","53,097","±535"
"        Two or more races","2,678,127","±46,109","2.2%","±0.1","62,085","±580"
"        Hispanic or Latino origin (of any race)","16,681,970","±50,906","13.6%","±0.1","55,658","±279"
"        White alone, not Hispanic or Latino","81,930,212","±88,967","66.7%","±0.1","71,664","±127"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","4,414,628","±40,315","3.6%","±0.1","35,999","±322"
"    25 to 44 years","39,566,619","±72,371","32.2%","±0.1","72,029","±155"
"    45 to 64 years","45,826,277","±62,251","37.3%","±0.1","79,165","±289"
"    65 years and over","32,995,328","±52,105","26.9%","±0.1","48,893","±166"
"FAMILIES","","","","","",""
"    Families","79,594,270","±130,690","79,594,270","±130,690","80,944","±161"
"        With own children of householder under 18 years","32,481,312","±88,550","40.8%","±0.1","78,001","±386"
"        With no own children of householder under 18 years","47,112,958","±116,091","59.2%","±0.1","82,386","±181"
"        Married-couple families","58,370,842","±156,460","73.3%","±0.1","96,571","±185"
"            With own children under 18 years","22,055,657","±82,876","27.7%","±0.1","103,978","±354"
"        Female householder, no spouse present","15,055,520","±74,144","18.9%","±0.1","40,815","±172"
"            With own children under 18 years","7,642,966","±56,270","9.6%","±0.1","31,035","±189"
"        Male householder, no spouse present","6,167,908","±48,817","7.7%","±0.1","56,156","±444"
"            With own children under 18 years","2,782,689","±31,101","3.5%","±0.1","48,083","±714"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","37,600,654","±125,339","47.2%","±0.1","71,805","±194"
"    3-person families","17,407,311","±63,056","21.9%","±0.1","82,677","±394"
"    4-person families","14,193,715","±64,353","17.8%","±0.1","99,048","±566"
"    5-person families","6,457,555","±45,956","8.1%","±0.1","91,850","±514"
"    6-person families","2,465,021","±29,214","3.1%","±0.1","88,019","±1,088"
"    7-or-more person families","1,470,014","±25,227","1.8%","±0.1","92,188","±1,328"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","11,887,400","±45,733","14.9%","±0.1","44,184","±283"
"    1 earner","25,281,553","±76,139","31.8%","±0.1","55,937","±213"
"    2 earners","33,023,543","±117,712","41.5%","±0.1","102,225","±212"
"    3 or more earners","9,401,774","±51,684","11.8%","±0.1","125,744","±427"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","43,208,582","±108,781","43,208,582","±108,781","39,871","±169"
"        Female householder","22,875,023","±76,769","52.9%","±0.1","34,542","±191"
"            Living alone","19,128,319","±70,663","44.3%","±0.1","30,319","±123"
"            Not living alone","3,746,704","±35,926","8.7%","±0.1","68,211","±589"
"        Male householder","20,333,559","±74,593","47.1%","±0.1","45,884","±223"
"            Living alone","15,624,312","±69,006","36.2%","±0.1","39,386","±302"
"            Not living alone","4,709,247","±43,820","10.9%","±0.1","75,492","±515"
