"Label (Grouping)","United States!!Number!!Estimate","United States!!Number!!Margin of Error","United States!!Percent Distribution!!Estimate","United States!!Percent Distribution!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"Households","120,062,818","±161,148","120,062,818","±161,148","60,336","±86"
"    One race--","","","","","",""
"        White","91,620,445","±107,067","76.3%","±0.1","63,704","±144"
"        Black or African American","14,800,044","±43,712","12.3%","±0.1","40,232","±193"
"        American Indian and Alaska Native","882,702","±15,719","0.7%","±0.1","41,882","±629"
"        Asian","5,739,939","±26,037","4.8%","±0.1","83,456","±765"
"        Native Hawaiian and Other Pacific Islander","159,732","±5,799","0.1%","±0.1","60,734","±2,982"
"        Some other race","4,383,033","±36,602","3.7%","±0.1","47,219","±377"
"    Two or more races","2,476,923","±35,877","2.1%","±0.1","56,519","±697"
"Hispanic or Latino origin (of any race)","15,832,610","±49,679","13.2%","±0.1","49,793","±257"
"White alone, not Hispanic or Latino","81,071,882","±83,326","67.5%","±0.1","65,845","±127"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","4,334,161","±36,961","3.6%","±0.1","31,867","±231"
"    25 to 44 years","38,660,668","±72,930","32.2%","±0.1","65,879","±178"
"    45 to 64 years","46,375,863","±71,358","38.6%","±0.1","72,443","±186"
"    65 years and over","30,692,126","±54,283","25.6%","±0.1","43,735","±116"
"FAMILIES","","","","","",""
"    Families","78,631,163","±144,258","78,631,163","±144,258","73,891","±159"
"        With own children of householder under 18 years","32,846,899","±79,121","41.8%","±0.1","71,394","±201"
"        With no own children of householder under 18 years","45,784,264","±105,516","58.2%","±0.1","75,461","±156"
"        Married-couple families","57,847,574","±164,114","73.6%","±0.1","88,315","±184"
"            With own children under 18 years","22,334,270","±78,325","28.4%","±0.1","96,057","±270"
"        Female householder, no husband present","14,896,928","±60,378","18.9%","±0.1","36,959","±177"
"            With own children under 18 years","7,789,620","±45,691","9.9%","±0.1","27,894","±262"
"        Male householder, no wife present","5,886,661","±42,613","7.5%","±0.1","50,886","±243"
"            With own children under 18 years","2,723,009","±26,934","3.5%","±0.1","42,500","±560"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","(X)","(X)","(X)","(X)","65,539","±162"
"    3-person families","(X)","(X)","(X)","(X)","76,046","±316"
"    4-person families","(X)","(X)","(X)","(X)","90,748","±330"
"    5-person families","(X)","(X)","(X)","(X)","83,070","±662"
"    6-person families","(X)","(X)","(X)","(X)","79,840","±777"
"    7-or-more person families","(X)","(X)","(X)","(X)","82,874","±1,052"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","11,661,067","±44,495","14.8%","±0.1","37,987","±212"
"    1 earner","25,431,562","±72,572","32.3%","±0.1","51,600","±120"
"    2 earners","32,522,227","±110,498","41.4%","±0.1","95,405","±203"
"    3 or more earners","9,016,307","±48,988","11.5%","±0.1","116,350","±412"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","41,431,655","±105,291","41,431,655","±105,291","35,980","±95"
"        Female householder","21,983,211","±69,515","53.1%","±0.1","31,303","±105"
"            Living alone","18,482,762","±62,135","44.6%","±0.1","27,339","±105"
"            Not living alone","3,500,449","±28,224","8.4%","±0.1","62,872","±582"
"        Male householder","19,448,444","±71,762","46.9%","±0.1","41,593","±130"
"            Living alone","15,030,393","±68,157","36.3%","±0.1","35,700","±154"
"            Not living alone","4,418,051","±34,820","10.7%","±0.1","69,545","±604"
