"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","114,991,725","±179,541","50,502","±73"
"One race--","","","",""
"    White","78.0%","±0.1","53,444","±106"
"    Black or African American","12.1%","±0.1","33,223","±226"
"    American Indian and Alaska Native","0.7%","±0.1","35,192","±819"
"    Asian","4.0%","±0.1","67,885","±801"
"    Native Hawaiian and Other Pacific Islander","0.1%","±0.1","49,378","±2,920"
"    Some other race","3.3%","±0.1","37,172","±295"
"Two or more races","1.7%","±0.1","44,115","±729"
"Hispanic or Latino origin (of any race)","11.9%","±0.1","39,589","±248"
"White alone, not Hispanic or Latino","70.2%","±0.1","55,305","±104"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","4.1%","±0.1","23,788","±238"
"    25 to 44 years","33.7%","±0.1","54,768","±207"
"    45 to 64 years","40.1%","±0.1","61,148","±110"
"    65 years and over","22.1%","±0.1","35,107","±120"
"FAMILIES","","","",""
"    Families","76,084,006","±144,469","61,455","±109"
"        With own children under 18 years","44.4%","±0.1","58,035","±281"
"        With no own children under 18 years","55.6%","±0.1","63,701","±140"
"    Married-couple families","73.0%","±0.1","74,392","±129"
"    Female householder, no husband present","19.9%","±0.1","30,052","±135"
"    Male householder, no wife present","7.2%","±0.1","41,763","±244"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","38,907,719","±111,894","30,500","±86"
"    Female householder","53.7%","±0.1","26,288","±96"
"        Living alone","45.7%","±0.1","23,631","±102"
"        Not living alone","8.0%","±0.1","50,379","±478"
"    Male householder","46.3%","±0.1","35,718","±143"
"        Living alone","36.3%","±0.1","31,317","±134"
"        Not living alone","10.1%","±0.1","56,020","±397"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","29.0%","(X)","(X)","(X)"
"    Family income in the past 12 months","29.5%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","26.3%","(X)","(X)","(X)"
