"Label (Grouping)","United States!!Number!!Estimate","United States!!Number!!Margin of Error","United States!!Percent Distribution!!Estimate","United States!!Percent Distribution!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","129,870,928","±136,261","129,870,928","±136,261","74,755","±148"
"        One race--","","","","","",""
"            White","86,507,854","±118,987","66.6%","±0.1","79,933","±202"
"            Black or African American","15,698,613","±43,847","12.1%","±0.1","51,374","±331"
"            American Indian and Alaska Native","1,037,975","±13,304","0.8%","±0.1","58,082","±1,043"
"            Asian","6,792,055","±29,176","5.2%","±0.1","106,954","±596"
"            Native Hawaiian and Other Pacific Islander","198,120","±7,499","0.2%","±0.1","72,411","±4,269"
"            Some other race","7,100,710","±44,082","5.5%","±0.1","63,290","±455"
"        Two or more races","12,535,601","±69,877","9.7%","±0.1","69,704","±444"
"        Hispanic or Latino origin (of any race)","18,824,389","±49,361","14.5%","±0.1","65,882","±345"
"        White alone, not Hispanic or Latino","83,085,478","±102,926","64.0%","±0.1","80,404","±183"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","5,335,083","±45,029","4.1%","±0.1","42,079","±324"
"    25 to 44 years","42,774,390","±75,253","32.9%","±0.1","83,783","±257"
"    45 to 64 years","46,282,807","±57,239","35.6%","±0.1","90,748","±306"
"    65 years and over","35,478,648","±56,689","27.3%","±0.1","53,963","±176"
"FAMILIES","","","","","",""
"    Families","83,304,153","±133,863","83,304,153","±133,863","92,148","±207"
"        With own children of householder under 18 years","33,747,490","±81,494","40.5%","±0.1","91,057","±315"
"        With no own children of householder under 18 years","49,556,663","±120,812","59.5%","±0.1","92,816","±244"
"        Married-couple families","60,921,873","±168,299","73.1%","±0.1","109,250","±230"
"            With own children under 18 years","22,973,931","±76,189","27.6%","±0.1","120,704","±404"
"        Female householder, no spouse present","15,731,079","±84,573","18.9%","±0.1","48,032","±289"
"            With own children under 18 years","7,812,269","±55,826","9.4%","±0.1","36,393","±294"
"        Male householder, no spouse present","6,651,201","±58,593","8.0%","±0.1","64,777","±451"
"            With own children under 18 years","2,961,290","±38,038","3.6%","±0.1","55,299","±673"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","39,341,710","±122,775","47.2%","±0.1","80,329","±229"
"    3-person families","18,408,193","±78,160","22.1%","±0.1","95,770","±375"
"    4-person families","14,722,399","±59,674","17.7%","±0.1","113,919","±510"
"    5-person families","6,712,635","±52,898","8.1%","±0.1","107,130","±649"
"    6-person families","2,551,834","±29,182","3.1%","±0.1","104,186","±1,126"
"    7-or-more person families","1,567,382","±23,782","1.9%","±0.1","109,154","±1,230"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","12,756,449","±52,174","15.3%","±0.1","49,179","±326"
"    1 earner","25,990,668","±79,960","31.2%","±0.1","63,534","±235"
"    2 earners","34,429,158","±102,860","41.3%","±0.1","117,107","±326"
"    3 or more earners","10,127,878","±54,609","12.2%","±0.1","145,408","±559"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","46,566,775","±117,191","46,566,775","±117,191","45,046","±166"
"        Female householder","24,660,465","±91,553","53.0%","±0.1","39,829","±204"
"            Living alone","20,305,432","±76,715","43.6%","±0.1","34,202","±184"
"            Not living alone","4,355,033","±39,924","9.4%","±0.1","78,407","±724"
"        Male householder","21,906,310","±74,086","47.0%","±0.1","51,790","±173"
"            Living alone","16,855,668","±71,731","36.2%","±0.1","43,750","±243"
"            Not living alone","5,050,642","±42,191","10.8%","±0.1","88,315","±758"
